"line","song_id","song_name","artist_id","artist_name"
"[Verse 1]\nFrom the hills to Kaycee, Wyoming\nWhere life's wooly and wild\nCame an Air Force brat\nIn a cowboy hat\nAnd that Copenhagen smile\nAnd from bucking broncs\nTo honky tonks\nHe always sang a cowboy's song\nWe were much too young\nHaving too much fun\nAs we all sang along\n\n[Chorus]\n(And we sang) Life's a highway\nThere's only one way\nYou're gonna get through it\nWhen she starts to twist\nBe more like Chris\nPull your hat down tight\nAnd just LeDoux it\nWhen that whistle blows\nAnd that crowd explodes\nAnd them pickup men are at your side\nThey tell you good ride cowboy, good ride\n\n[Verse 2]\nFrom gold buckles to gold records\nWell, once again he was spinning 'round\nTook the whole world on\nAnd he turned us on\nTo that Western Underground\nAnd from ""Bareback Jack""\nTo ""This Cowboy's Hat""\nThe songs were stronger than his pain\nHe would not slow down\nFrom town to town\nLike children running through the rain\n\n[Chorus]\n(And we sang) Life's a highway\nThere's only one way\nYou're gonna get through it\nWhen she starts to twist\nBe more like Chris\nPull your hat down tight\nAnd just LeDoux it\nWhen that whistle blows\nAnd that crowd explodes\nAnd them pickup men are at your side\nThey tell you good ride cowboy, good ride\n\n(And we sang) Life's a highway\nThere's only one way\nYou're gonna get through it\nWhen she starts to twist\nBe more like Chris\nPull your hat down tight\nAnd just LeDoux it\nWhen that whistle blows\nAnd that crowd explodes\nAnd them pickup men are at your side\nThey tell you good ride cowboy, good ride\n\n[Outro]\nI bet he crossed that river Jordan\nWith St. Peter on the other side\nSinging good ride cowboy, good ride\nGood ride cowboy, good ride","344569","Good Ride Cowboy","15266","Garth Brooks"
"[Verse 1]\nBlame it all on my roots, I showed up in boots\nAnd ruined your black tie affair\nThe last one to know, the last one to show\nI was the last one you thought you'd see there\nAnd I saw the surprise, and the fear in his eyes\nWhen I took his glass of champagne\nAnd I toasted you, said, ""Honey, we may be through\nBut you'll never hear me complain""\n\n[Chorus]\n'Cause I've got friends in low places\nWhere the whiskey drowns and the beer chases\nMy blues away\nAnd I'll be okay\nYeah I'm not big on social graces\nThink I'll slip on down to the Oasis\nOh, I've got friends, in low places\n\n[Verse 2]\nWell, I guess I was wrong, I just don't belong\nBut then, I've been there before\nEverything's alright, I'll just say goodnight\nAnd I'll show myself to the door\nHey, I didn't mean, to cause a big scene\nJust give me an hour and then\nWell I'll be as high as that ivory tower\nThat you're livin' in\n\n[Chorus]\n'Cause I've got friends in low places\nWhere the whiskey drowns and the beer chases\nMy blues away, and I'll be okay\nHell, I'm not big on social graces\nThink I'll slip on down to the Oasis\nOh, I've got friends, in low places\n\n[Chorus: Garth Brooks & Crowd]\n'Cause I've got friends in low places\nWhere the whiskey drowns and the beer chases\nMy blues away, and I'll be okay\nHell, I'm not big on social graces\nThink I'll slip on down to the Oasis\nOh, I've got friends, in low places\n'Cause I've got friends in low places\nWhere the whiskey drowns and the beer chases\nMy blues away, and I'll be okay\nHell, I'm not big on social graces\nThink I'll slip on down to the Oasis\nOh, I've got friends, in low places\n'Cause I've got friends in low places\nWhere the whiskey drowns and the beer chases\nMy blues away, and I'll be okay\nHell, I'm not big on social graces\nThink I'll slip on down to the Oasis\nOh, I've got friends, in low places\n\n[Verse 3]\nI guess I was wrong, I just don't belong\nBut then, I've been there before\nAnd everything is alright, I'll just say goodnight\nAnd I'll show myself to the door\nI didn't mean to cause a big scene\nJust wait 'til I finish this glass\nThen sweet little lady I'll head back to the bar\nAnd you can kiss my ass\n\n[Chorus]\n'Cause I've got friends in low places\nWhere the whiskey drowns and the beer chases\nMy blues away, and I'll be okay\nI'm not big on social graces\nThink I'll slip on down to the Oasis\nOh, I've got friends, in low places","204103","Friends in Low Places (Live Version)","15266","Garth Brooks"
"[Verse 1]\nI went to work for her that summer\nA teenage kid so far from home\nShe was a lonely widow woman\nHell-bent to make it on her own\nWe were a thousand miles from nowhere\nWheat fields as far as I could see\nBoth needing somethin' from each other\nNot knowin' yet what that might be\n\n[Verse 2]\n'Til she came to me one evenin'\nHot cup of coffee and a smile\nIn a dress that I was certain\nShe hadn't worn in quite a while\nThere was a difference in her laughter\nThere was a softness in her eyes\nAnd on the air there was a hunger\nEven a boy could recognize\n\n[Chorus]\nShe had a need to feel the thunder\nTo chase the lightnin' from the sky\nTo watch a storm with all its wonder\nRagin' in her lover's eyes\nShe had to ride the heat of passion\nLike a comet burnin' bright\nRushin' headlong in the wind, out where only dreams have been\nBurnin' both ends of the night\n\n[Verse 3]\nThat summer wind was all around me\nNothin' between us but the night\nAnd when I told her that I'd never\nShe softly whispered that's alright\nAnd then I watched her hands of leather\nTurn to velvet in a touch\nThere's never been another summer\nWhen I have ever learned so much\n\n[Chorus]\nWe had a need to feel the thunder\nTo chase the lightnin' from the sky\nTo watch a storm with all its wonder\nRagin' in each others eyes\nWe had to ride the heat of passion\nLike a comet burnin' bright\nRushin' headlong in the wind, out where only dreams have been\nBurnin' both ends of the night\n\n[Verse 3]\nI often think about that summer\nThe sweat, the moonlight and the lace\nAnd I have rarely held another\nWhen I haven't seen her face\nAnd every time I pass a wheat field\nAnd watch it dancin' with the wind\nAlthough I know it isn't real, I just can't help but feel\nHer hungry arms again\n\n[Chorus]\nShe had a need to feel the thunder\nTo chase the lightnin' from the sky\nTo watch a storm with all its wonder\nRagin' in her lover's eyes\nShe had to ride the heat of passion\nLike a comet burnin' bright\nRushin' headlong in the wind, out where only dreams have been\nBurnin' both ends of the night\n\n[Outro]\nRushin' headlong in the wind, out where only dreams have been\nBurnin' both ends of the night","344507","That Summer","15266","Garth Brooks"
"[Intro]\nPeople say she's only in my head\nIt's going to take time but I'll forget\nThey say I need to get on with my life\nThey don't realize\n\n[Verse 1]\nIs when you're dialing 6 numbers just to hang up the phone\nDriving across town just to see if she's home\nWaking a friend in the dead of the night\nJust to hear him say it's going to be alright\nWhen you're finding things to do not to fall asleep\nBecause you know she will be there in your dreams\nThat's when she's more than a memory\n\n[Bridge]\nTook a match to everything she ever wrote\nWatched her words go up in smoke\nTore all her pictures off the wall\nThat ain't helping me at all\n\n[Verse 2]\nBecause when you're talking out loud but nobody's there\nYou look like hell and you just don't care\nDrinking more than you ever drank\nSinking down lower than you ever sank\nWhen you find yourself falling down upon your knees\nPraying to god, begging him please\nThat's when she's more than a memory\n\nShe's more\nShe's more\n\n[Verse 3]\nBecause when you're dialing her number just to hang up the phone\nDriving across town just to see if she's home\nWaking a friend in the dead of night\nJust to hear him say it's gonna be alright\nWhen you're finding things to do not to fall asleep\nBecause you know she's waiting in your dreams\nThat's when she's more than a memory\n\n[Outro]\nPeople say she's only in my head\nIt's going to take time but I'll forget","344763","More Than A Memory","15266","Garth Brooks"
"A little baby told God\nHey I'm kinda scared, don't really know if\nI wanna go down there\nBecause from here it looks like a little blue ball\nBut that's a great big place and I'm so small\n\nWhy can't I just stay here with you?\nDid I make you mad, don't you want me, too?'\nAnd God said, 'Oh child, of course I do\nBut there's somebody special that's waiting for you'\n\nSo hush now baby don’t you cry\nCuz there’s someone down there waiting who’s only goal in life\nIs making you sure you’re always going to be alright\nA loving angel tender tough and strong\nIt’s almost time to go and meet your Mom\n\nNow when she’s talking to you\nMake sure you listen close\nCause she’s gonna teach everything you’ll ever need to know\nLike how to mind your manners to love and laugh and dream\nAnd she’ll put you on the path that’ll bring you back to me\n\nSo hush now baby don’t you cry\nCuz there’s someone down there waiting who’s only goal in life\nIs making you sure you’re always going to be alright\nA loving angel tender tough and strong\nCome on child it’s time to meet your Mom","551175","Mom","15266","Garth Brooks"
"[Verse 1]\nYou know a dream is like a river\nEver changin' as it flows\nAnd a dreamer's just a vessel\nThat must follow where it goes\nTrying to learn from what's behind you\nAnd never knowing what's in store\nMakes each day a constant battle\nJust to stay between the shores\n\n[Chorus]\nAnd I will sail my vessel\n'Til the river runs dry\nLike a bird upon the wind\nThese waters are my sky\nI'll never reach my destination\nIf I never try\nSo, I will sail my vessel\n'Til the river runs dry\n\n[Verse 2]\nToo many times we stand aside\nAnd let the waters slip away\nTill what we put off till tomorrow\nHas now become today\nSo don't you sit upon the shoreline\nAnd say you're satisfied\nChoose to chance the rapids\nAnd dare to dance the tide\n\n[Chorus]\nYes, I will sail my vessel\n'Til the river runs dry\nLike a bird upon the wind\nThese waters are my sky\nI'll never reach my destination\nIf I never try\nSo, I will sail my vessel\n'Til the river runs dry\n\n[Bridge]\nAnd there's bound to be rough waters\nAnd I know I'll take some falls\nBut with the good Lord as my captain\nI can make it through them all\n\n[Chorus]\nYes, I will sail my vessel\n'Til the river runs dry\nLike a bird upon the wind\nThese waters are my sky\nI'll never reach my destination\nIf I never try\nSo, I will sail my vessel\n'Til the river runs dry\n\n[Outro]\nYes, I will sail my vessel\n'Til the river runs dry\n'Til the river runs dry","344448","The River","15266","Garth Brooks"
"[Verse 1]\nThree thirty in the mornin', not a soul in sight\nThe city's lookin' like a ghost town on a moonless summer night\nRaindrops on the windshield, there's a storm movin' in\nHe's headin' back from somewhere that he never should have been\n\n[Refrain]\nAnd the thunder rolls\nAnd the thunder rolls\n\n[Verse 2]\nEvery light is burnin' in a house across town\nShe's pacin' by the telephone in her faded flannel gown\nAskin' for a miracle, hopin' she's not right\nPrayin' it's the weather that's kept him out all night\n\n[Refrain]\nAnd the thunder rolls\nAnd the thunder rolls\n\n[Chorus]\nThe thunder rolls, and the lightnin' strikes\nAnother love grows cold on a sleepless night\nAs the storm blows on out of control\nDeep in her heart the thunder rolls\n\n[Verse 3]\nShe's waitin' by the window when he pulls into the drive\nShe rushes out to hold him, thankful he's alive\nBut on the wind and rain a strange new perfume blows\nAnd the lightnin' flashes in her eyes, and he knows that she knows\n\n[Refrain]\nAnd the thunder rolls\nAnd the thunder rolls\n\n[Chorus]\nThe thunder rolls, and the lightnin' strikes\nAnother love grows cold on a sleepless night\nAs the storm blows on out of control\nDeep in her heart the thunder rolls\n\n[Verse 4]\nShe runs back down the hallway, and through the bedroom door\nShe reaches for the pistol kept in the dresser drawer\nTells the lady in the mirror, ""He won't do this again""\n'Cause tonight will be the last time she'll wonder where he's been\n\n[Chorus]\nThe thunder rolls, and the lightnin' strikes\nAnother love grows cold on a sleepless night\nAs the storm blows on out of control\nDeep in her heart the thunder rolls","340038","The Thunder Rolls","15266","Garth Brooks"
"[Verse 1]\nOn a two lane north of Casper\nIs where this all begins\nHeading back to Oklahoma\nFor a week to visit friends\nShe was walking along the highway\nSo I pulled off to the side\nAnd asked her if she needed a ride\nWe tor up that ole blacktop\nUntil we found I-25\nAnd just into Colorado\nShe asked if she could drive\nI'd never met nobody like her\nI'd never laughed so much\nAnd I grew hungry for her touch\n\n[Chorus]\nI used to think of autumn\nAs sweaters and leaves\nAnd I used to think the night\nWas just for dreamers and thieves\nBut that was before she came\nAllison Miranda was her name\n\n[Verse 2]\nBy the time that we hit Kansas\nWe both felt pretty beat\nSo we found ourselves a motel\nAnd grabbed a bite to eat\nWe'd rest a few short hours\nSoon we'd be out of there\nThree days later we came up for air\n\n[Chorus]\n\n[Verse 3]\nNow I can't forget\nThe morning when I woke alone in bed\nTo a rose left on her pillow\nAnd a goodbye note that read\nYou cannot grow a flower\nIf you do not have the seed\nNow I've got everything I need\n\n[Chorus]","344574","Allison Miranda","15266","Garth Brooks"
"Was the captain of the team his senior year\nIn his eyes on his helmet he had no fear\nDown by a six ball on the ten\nSaid huddle up boys we’ve got a game to win\nSnapped the ball\nHe looked left and right\nNobody was open so he tucked in tight\nAnd with four of them boys hanging on to him\nThe clock ran out as he ran it in\n\nAnd the whole town cheers\nAnd his mama cried\nAnd they rushed down field\nAnd they raised him high\nGot his picture in the paper and the headline read All American Hometown Kid\n\nHe was recruited by the best schools in the land\nHe decided he’d sign with his Uncle Sam\nHe kissed mama goodbye in their living room\nSaid dad don’t worry I’ll be home soon\n\nAnd the whole town cheers\nAnd his mama cried\nAnd they lined the street\nJust to say goodbye\nGot his picture in the paper and the headline read Come Back All American Hometown Kid\n(Instrumental)\nThree tours of duty\nAnd a silver star\nBrought him back home with his battle scars\nHe stepped off the plane\nIn his combat boots\nHe saluted the red white and blue\n\nAnd the whole town cheered\nAnd his mama cried\nAnother hometown boy made it home alive\nGot his picture in the paper and the headline read Welcome Back Home All American Kid\nYeah, this song is for those who never did come back all American kids","551173","All American Kid","15266","Garth Brooks"
"[Verse 1]\nWell, I'm shameless, when it comes to lovin' you\nI'll do anything you want me to, I'll do anything at all\nAnd I'm standin', here for all the world to see\nOh, baby that's what's left of me, don't have very far to fall\n\n[Verse 2]\nYou know now I'm not a man who's ever been\nInsecure about the world I've been livin' in\nI don't break easy, I have my pride\nBut if you need to be satisfied\n\n[Chorus 1]\nI'm shameless, oh, honey I don't have a prayer\nEverytime I see you standin' there, I go down upon my knees\nAnd I'm changin', swore I'd never compromise\nOh, but you convinced me otherwise, I'll do anything you please\n\n[Verse 3]\nYou see in all my life I've never found\nWhat I couldn't resist what I couldn't turn down\nI can walk away from anyone I ever knew\nBut I can't walk away from you\n\n[Bridge]\nI have never let anything have this much control over me\nI work too hard to call my life my own\nAnd I've made myself a world and it's worked so perfectly\nBut it's your world now, I can't refuse, I've never had so much to lose\n\nOh, I'm shameless\n\n[Guitar Solo]\n\n[Verse 4]\nYou know it should be easy for a man who's strong\nTo say he's sorry or admit when he's wrong\nI've never lost anything I've ever missed\nBut I've never been in love like this\n\nIt's out of my hands\n\n[Chorus 2]\nI'm shameless, I don't have the power now\nI don't want it anyhow, so I gotta let it go\nOh, I'm shameless, shameless as a man can be\nYou make a total fool of me, I just wanted to you to know\n\n[Outro]\nOh, I'm shameless\nI just wanted you to know\nOh, I'm shameless\nOh, I'm down on my knees...shameless","82593","Shameless","15266","Garth Brooks"
