"line","song_id","song_name","artist_id","artist_name"
"[Intro]\nAmerican girls and American guys\nWe’ll always stand up and salute, we’ll always recognize\nWhen we see Old Glory flying there’s a lot of men dead\nSo we can sleep in peace at night when we lay down our head\n\n[Verse 1]\nMy daddy served in the army where he lost his right eye\nBut he flew a flag out in our yard 'til the day that he died\nHe wanted my mother, my brother, my sister and me\nTo grow up and live happy in the land of the free\n\n[Verse 2]\nNow this nation that I love has fallen under attack\nA mighty sucker punch came flying in from somewhere in the back\nSoon as we could see clearly through our big black eye\nMan, we lit up your world like the Fourth of July\n\n[Chorus]\nHey, Uncle Sam put your name at the top of his list\nAnd the Statue of Liberty started shaking her fist\nAnd the eagle will fly man, it’s gonna be hell\nWhen you hear Mother Freedom start ringing her bell\nAnd it feels like the whole wide world is raining down on you\nOh, brought to you courtesy of the red, white, and blue\n\n[Bridge]\nOh, justice will be served and the battle will rage\nThis big dog will fight when you rattle his cage\nAnd you’ll be sorry that you messed with the U.S. of A\n`Cause we`ll put a boot in your ass, it`s the American way\n\n[Chorus]\nHey, Uncle Sam put your name at the top of his list\nAnd the Statue of Liberty started shaking her fist\nAnd the eagle will fly man, it’s gonna be hell\nWhen you hear Mother Freedom start ringing her bell\nAnd it feels like the whole wide world is raining down on you\nBrought to you courtesy of the red, white, and blue\n\n[Outro]\nOh, oh\nOf the red, white and blue\nOh, oh\nOf my red, white, and blue","194399","Courtesy Of The Red, White, And Blue (The Angry American)","1176","Toby Keith"
"I always heard that his herb was top shelf\nLord I just could not wait to find out for myself\nWell don't knock it till you've tried it\nAnd I've tried it my friend\nI'll never smoke Weed with Willie again!\n\nNow we learned a hard lesson in a small Texas town\nHe fired up a fat boy and he passed it around\nThe last words I spoke before they tucked me in\nI may discount Bungee jump but\nI'll never smoke weed with Willie again\n\nI'll never smoke weed with Willie again\nMy party's all over before it begins\nYou can pour me some Old Whiskey River my friend\nBut I'll never smoke weed with Willie again\n\nWe hopped on his old bus the Honeysuckle Rose\nThe party was Huntsville, it was after the show\nAlone in the front lounge, just me and him\nI took one friendly puff and the grim creeper set in\n\nI'll never smoke weed with Willie again\nMy party's all over before it begins\nYou can pour me some Old Whiskey River my friend\nBut I'll never smoke weed with Willie again\n\nNow we're passing the guitar, we're telling good jokes\nI can tell one's a coming because I'm smelling smoke\nNo I do not partake I just let it pass by\nWith a grin on my face and a great contact high\n\nI'll never smoke weed with Willie again\nMy party's all over before it begins\nYou can pour me some Old Whiskey River my friend\nBut I'll never smoke weed with Willie again\n\nIn the fetal position with drool on my chin\nWe broke down and smoked weed with Willie again\n\nSongwriters:  Toby Keith and Scotty Emerick","177397","Weed with Willie","1176","Toby Keith"
"Hey, one, two, three\n\n[Verse 1]\nNow, red Solo cup is the best receptacle\nFor barbecues, tailgates, fairs, and festivals\nAnd you, sir, do not have a pair of testicles\nIf you prefer drinking from glass\nHey, red Solo cup is cheap and disposable\nAnd in 14 years, they are decomposable\nAnd unlike my home, they are not foreclosable\nFreddy Mac can kiss my ass\nWhoo!\n\n[Chorus]\nRed Solo cup\nI fill you up\nLet's have a party\nLet's have a party\nI love you, red Solo cup\nI lift you up\nProceed to party\nProceed to party\n\n[Verse 2]\nNow, I really love how you're easy to stack\nBut I really hate how you're easy to crack\n'Cause when beer runs down in front of my pack\nWell, that, my friends, is quite yucky\nBut I have to admit that the ladies get smitten\nAdmiring at how sharply my first name is written\nOn you with a Sharpie when I get to hitting\nOn them to help me get lucky\n\n[Chorus]\nRed Solo cup\nI fill you up\nLet's have a party\nLet's have a party\nI love you, red Solo cup\nI lift you up\nProceed to party\nProceed to party\n\n[Verse 3]\nNow, I've seen you in blue and I've seen you in yellow\nBut only you, red, will do for this fellow\n'Cause you are the Abbott to my Costello\nAnd you are the Fruit to my Loom\nRed Solo cup, you're more than just plastic\nYou're more than amazing, you're more than fantastic\nAnd believe me that I am not the least bit sarcastic\nWhen I look at you and say\n\n[Bridge]\nRed Solo cup, you're not just a cup\n(No! No! No! God, no! )\nYou're my-you're my (Friend?) friend\n(Friend, friend, friend,life-long)\nThank you for being my friend\n\n[Chorus]\nRed Solo cup\n(That's what I am talking about)\nI fill you up\nLet's have a party\n(Let's have a party)\nLet's have a party\n(Let's have a party)\nI love you, red Solo cup\nI lift you up\nProceed to party\nProceed to party\n\nRed Solo cup\nRed Solo cup\n(I fill you up, let's have a party)\nLet's have a party\n(Let's have a party)\nLet's have a party\n(Red Solo cup)\nOh red Solo cup\n(I lift you up)\nLet's have a party\nProceed to party yeah yeah\n\n[Outro]\n(Solo cup, solo cup, solo cup)\n(Solo cup, solo cup, solo cup)\n(Solo cup, solo cup)","61003","Red Solo Cup","1176","Toby Keith"
"[Verse 1]\nMama locked the door last night\nFor the first time in all of her years\nI said Mama you gotta be kiddin' me\nShe said things ain't like they used to be 'round here\nYou just wouldn't believe it\nKids growin' up without Jesus\nA good thing your Daddy ain't here to see this now\nThey stay higher than the water tower\nIn this thirty-five mile an hour town\n\n[Verse 2]\nShe said it ain't the drugs, it ain't the booze\nI've had a back road buzz or two myself\nIt seems like heaven's slippin' further away\nThe devil ain't got far to go when they raise hell\nWe used to burn a hole through midnight\nSmoking a stolen Marlboro Light and\nOn a good night might kill a fifth of Crown\nBut now there's a lower higher power\nIn this thirty-five mile an hour town\n\n[Chorus]\nOh we can't blame the babies for growin' up lazy\nAnd crazy, it ain't them that let them down\nIf they ain't stealin', they're suin'\nWhy work when we'll give it to 'em\nIt's right there in the Bible we don't put out\nSpare the rod and you'll sour a\nThirty-five mile an hour town\n\n[Verse 3]\nThe ""yes ma'am's"" gone and the ""please's"" too\nIt's out the door with the ""thank you""\nIn the evening you don't see a front yard football game\nThe neighbor kids have done away\nWith the shirts and skins\nNo one hits the front porch lights\nTo get their kids to come inside\nCause the streets ain't safe\nFor a bike to ride down\nSince they printed a prowler\nIn this thirty-five mile an hour town\n\n[Tag]\nNo they're going nowhere fast tonight\nNo matter how fast they drive in this\nThirty-five mile an hour town","2290946","35 MPH Town","1176","Toby Keith"
"[Verse 1]\nWinter getting colder, summer getting warmer\nTidal wave coming 'cross the Mexican border\nWhy buy a gallon, it's cheaper by the barrel\nJust don't get busted singing Christmas carols\n\n[Chorus]\nThat's us, that's right\nGotta love this American ride\nBoth ends of the ozone burning\nFunny how the world keeps turning\nLook ma, no hands\nI love this American ride\nGotta love this American ride\n\n[Verse 2]\nMomma gets her rocks off watching' Desperate Housewives\nDaddy works his ass off paying' for the good life\nKids on the YouTube learning how to be cool\nLiving in a cruel world, pays to be a mean girl\n\n[Chorus]\nThat's us, That's right\nGotta love this American ride\nBoth ends of the ozone burning\nFunny how the world keeps turning\nLook ma, no hands\nI love this American ride\nGotta love this American ride\n\n[Verse 3]\nPoor little infamous, America's town\nShe gained five pounds and lost her crown\nQuick fix plastic surgical antidote\nGot herself a record deal, can't even sing a note\n\n[Verse 4]\nPlasma getting bigger, Jesus getting smaller\nSpill a cup of coffee, make a million dollars\nCustoms caught a thug with an aerosol can\nIf the shoe don't fit, fits gonna hit the shan\n\n[Outro]\nThat's us, That's right\nGotta love this American ride\nBoth ends of the ozone burning\nFunny how the world keeps turning\nHot dog, Hot damn\nI love this American ride\nGotta love this American ride\nOh yeah\nNa na na na na na na na na na na na na na na na na na nananananananana","149227","American Ride","1176","Toby Keith"
"[Verse 1]\nI bet you have never heard ole Marshal Dillon say\nMiss Kitty have you ever thought of running away\nSettling down would you marry me\nIf I ask you twice and beg you pretty please\nShe should of said Yes in a New York minute\nThey never tied the knot\nHis heart was not in it\nHe just stole a kiss as he road away\nHe never hung his hat up, at Kitty's place\n\n[Chorus]\nI should been a cowboy\nI should learned to rope and ride\nWearing my six-shooter, riding my pony on a cattle drive\nStealing young girls hearts\nJust like Gene and Roy\nSinging those campfire songs\nOh, I should have been a cowboy\n\n[Verse 2]\nI might of had a sidekick with a funny name\nRunning wild through the hills chasing Jesse James\nEnding up on the brink of danger\nRiding shotgun for the Texas Rangers\nGo west young man, have not you been told\nCalifornia is full of whiskey, women and gold\nSleeping out all night beneath the desert stars\nWith a dream in my eye, and a prayer in my heart\n\n[Chorus] [x2]","4462","Should've Been a Cowboy","1176","Toby Keith"
"[Verse 1]\nMy old man's that old man\nSpent his life living off the land\nDirty hands and a clean soul\nBreaks his heart seeing foreign cars\nFilled with fuel that isn't ours\nAnd wearing cotton we didn't grow\n\n[Chorus]\nHe’s got the red, white, blue flying high on the farm\nSemper fi tattooed on his left arm\nSpends a little more at the store for a tag in the back that says U-S-A\nWon’t buy nothing that he can't fix with WD-40 and a Craftsman wrench\nHe ain't prejudiced, he's just made in America\n\n[Verse 2]\nHis wife, she's that wife that decorates on the 4th of July\nBut says ""every day's Independence Day""\nShe’s golden rule, teaches school\nSome folks say it isn't cool, but she says the Pledge of Allegiance anyway\n\n[Chorus]\nGot the red, white, blue flying high on the farm\nSemper fi tattooed on his left arm\nSpends a little more at the store for a tag in the back that says U-S-A\nWon’t buy nothing that he can't fix with WD-40 and a Craftsman wrench\nHe ain't prejudiced, he's just made in America\n\n[Bridge]\nBorn in the heartland, raised up a family\nOf King James and Uncle Sam\n\n[Chorus]\nGot the red, white, blue flying high on the farm\nSemper fi tattooed on his left arm\nSpends a little more at the store for a tag in the back that says U-S-A\nWon’t buy nothing that he can't fix with WD-40 and a Craftsman wrench\nHe ain't prejudiced, he's just made in America\n\n[Outro]\nMade in America\nMade in America\n\nMy old man's that old man\nHe’s made in America\n\nAmerica!","149228","Made in America","1176","Toby Keith"
"[Verse 1]\nI had a hand me down ride painted rattle can red\nSecond hand tires with poor boy tread\nMade a lot of almost love in the bed of that\nTruck that got stuck a lot\nJust letter jacket boys singing Jerry Jeff songs\nDrinking everything we could get our hands on\nLearning ‘bout right by doin’ it wrong\nHopin’ we didn’t get caught\n\n[Chorus]\nAnd we spent what little bit of money we had\nOn wintergreen Skoal and main street gas\nGo get your girl, go make the drag\nIf you’re lucky you can take her cross the rail road tracks\nWhere the man in the moon works his magic\nOn the second runner up of the 4H pageant\nSeems like yesterday, even though\nThat was fourteen hundred and fifty two beers ago\n\n[Verse 2]\nSkipped that town on my birthday\nFor eighteen years I was headed that way\nWhere old red stopped I just stayed\nIn a room without a view\nI met a one look girl in a two bit bar\nI had a place, she had a car\nI won her heart with my guitar\nI sang her the homesick blues ‘bout\n\n[Chorus]\nAnd we spent what little bit of money we had\nOn wintergreen Skoal and main street gas\nGo get your girl, go make the drag\nIf you’re lucky you can take her cross the rail road tracks\nWhere the man in the moon works his magic\nOn the second runner up of the 4H pageant\nSeems like yesterday, even though\nThat was fourteen hundred and fifty two beers ago\n\nAnd we spent what little bit of money we had\nOn wintergreen Skoal and main street gas\nGo get your girl, go make the drag\nIf you’re lucky you can take her cross the rail road tracks\nWhere the man in the moon works his magic\nOn the second runner up of the 4H pageant\nSeems like yesterday, even though\nThat was fourteen hundred and fifty two beers ago","82203","Beers Ago","1176","Toby Keith"
"We ain't East, we ain't West\nWe ain't left, we ain't right\nWe ain't black, we ain't white\nWe just came here to drink\nWe're all mud flap suburbans\nAll ball caps and turbans\nAll prom queens and strippers\nWhere the whole kitchen sink and in here\nWe're the same, everyone knows your name\n\nWe just raise up our glass\nWe don't give a rat's ass\nIf you're a Democrat or Republican\nWe're happy to be here and that you can see\nWe're just all drunk Americans\n\nWe ain't second ex wives\nWe ain't cowboys or redskins\nWe ain't preachers or kingpins\nWe're just having fun\nWe're all suits in blue collars\nShort orders long hollers\nPaper and plastic, too old and too young\nCeos, GEDs, DUIs, FBIs, PHDs\n\nAnd we raise up our glass\nWe don't give a rat's ass\nIf your belly's too fat, or your wallet's too thin\nWe're happy to be here and that you can see\nWe're just all drunk Americans\n\n(La-la-la-la-la-la)\n\nAll drunk Americans\n\nWe been in, we been out\nWe been cool, we been weird\nThank God we're still here\nIn the land of the free\nAnd we all, singin' wrong\nBut we all sing along\nSing along\n\nWe just raise up our glass\nWe don't give a rat's ass\nIf you're a democrat or republican\nWe're happy to be here and that you can see\nWe're just all drunk Americans\n\nIn these neon lights\nWe're all stars we're all straps\nAnd we're all drunk Americans","569042","Drunk Americans","1176","Toby Keith"
"[Verse 1]\nWe got winners, we got losers\nChain smokers and boozers\nAnd we got yuppies, we got bikers\nWe got thirsty hitchhikers\nAnd the girls next door dress up like movie stars\n\nHmm, hmm, hmm I love this bar\n\n[Verse 2]\nWe got cowboys, we got truckers\nBroken-hearted fools and suckers\nAnd we got hustlers, we got fighters\nEarly birds and all-nighters\nAnd the veterans talk about their battle scars\n\nHmm, hmm, hmm I love this bar\n\n[Hook]\nI love this bar\nIt's my kind of place\nJust walkin' through the front door\nPuts a big smile on my face\nIt ain't too far, come as you are\nHmm, hmm, hmm I love this bar\n\n[Verse 3]\nI've seen short skirts, we got high-techs\nBlue-collar boys and rednecks\nAnd we got lovers, lots of lookers\nAnd I've even seen dancing girls and hookers\nAnd we like to drink our beer from a mason jar\n\nHmm, hmm, hmm I love this bar\nYes I do\n\n[Bridge]\nI like my truck (I like my truck)\nI like my girlfriend (I like my girlfriend)\nI like to take her out to dinner\nI like a movie now and then\n\nBut I love this bar\nIt's my kind of place\nJust trollin' around the dance floor\nPuts a big smile on my face\nNo cover charge, come as you are\nHmm, hmm, hmm I love this bar\nHmm, hmm, hmm I love this bar\n\nWe got divorcees and a big bouncer man\nAn old jukebox and a real bad band\nWe got waitresses and we got barflies\nA dumb-ass and a wise-guy\nIf you get too drunk just sleep out in your car\nReason number 672 why\nHmm, hmm, hmm I love this bar\nPlay it on out boys\nBeer-thirty's over\nGot to take it on home\nHmm, hmm, hmm I love this bar\nHmm, hmm, hmm I love this bar\nI just love it","82666","I Love This Bar","1176","Toby Keith"
