"line","song_id","song_name","artist_id","artist_name"
"[Chorus 1: Chris Cornell]\nHeavy is the head that wears the crown\nHeavy is the head that wears the crown\n\n[Verse 1: Zac Brown]\nBlack dog drinks from the water trying to cool his tongue\nLike the king, finds no peace, his work is never done\nNight falls, smoke on the water, darkness closes in\nCold white hand in the deep will drown you for your sins\n\n[Chorus 2: Zac Brown]\nIt's a life long expedition\nSecond guessing your decisions\nTrying to find out what's been missing\nPages keep on filling\n\n[Bridge: Zac Brown]\nCrying out ""Go and wake the king""\nCall to arms for those who kiss the ring\nStand your ground, the walls are coming down\nIt's do or die! Do or die!\n\n[Chorus 1: Chris Cornell]\nHeavy is the head that wears the crown\nHeavy is the head that wears the crown\n\n[Verse 2: Zac Brown]\nMad man, blood on the altar, The Queen will have his head\nHis ghost will shake those rattling chains long after he's dead\nNo soul knows his trouble high upon his throne\nLoved by few and judged by many, he bears that weight alone\n\n[Chorus 2: Chris Cornell]\nIt's a life long expedition\nSecond guessing your decisions\nTrying to find out what's been missing\nPages keep on filling\n\n[Bridge: Chris Cornell]\nCrying out ""Go and wake the king""\nCall to arms for those who kiss the ring\nStand your ground, the walls are coming down\nIt's do or die! Do or die!\n\n[Chorus 1: Chris Cornell]\nHeavy is the head that wears the crown\nHeavy is the head that wears the crown\nHeavy is the head that wears the crown","722296","Heavy Is the Head (Ft. Chris Cornell)","22928","Zac Brown Band"
"Can’t tell where the sky begins and the water ends\nNo clouds to hide the sun\nWaves playing me a symphony upon the sand\nAs I lay drifting on the ocean with this bottle in my hand\n\nSat down on the boardwalk for a little while\nYour memory my company\nSomething about this place had a way to make you smile\nYou always loved the sound of waves\n\nThe wind whistling across my bottle still can’t blow away the sorrow\nThat tomorrow you won’t be here with me\nSo I raise it up and toast the day we met\nWon’t forget the way you love me, amazing way you love me\n\n[Chorus]\nIt’s bittersweet, you see\nYou’re not here but I can feel you\nEvery memory is on the tip of my tongue\nClose my eyes, see your face, hold on tight to yesterday\nAnd when I wake, it was just a dream\nIt’s bittersweet\n\nDoctor said there’s nothing we can do\nTook my hand said take me home\nTo the only place half a chance to take the pain away\nLet me feel alive before I go\n\nYou said life is only borrowed\nSo let’s wash away our sorrow\nThat tomorrow I won’t be here with you\nGo and live your life with no regrets and don’t forget how much I love you\nI love you\n\n[Chorus]\nIt’s bittersweet, you see\nYou’re not here but I can feel you\nEvery memory is on the tip of my tongue\nClose my eyes, see your face, hold on tight to yesterday\nAnd when I wake, it was just a dream\nIt’s bittersweet\n\nI brought you back just like you wanted\nSo you don’t ever have to leave\nAnd when I poured you across the southern sky, I couldn’t help but to cry\nI know you finally got your wings\n\nBitter-bittersweet\nBittersweet\n\nThe wind whistling across my bottle still can’t blow away the sorrow\nThat tomorrow you won’t be here with me\nSo I raise it up and toast the day we met\nWon’t forget the way you love me, amazing way you love me\nIt’s bittersweet","1778366","Bittersweet","22928","Zac Brown Band"
"[Verse 1]\nWhat can you see from your window?\nI can't see anything from mine\nFlags on the side of the highway\nAnd scripture on grocery store signs\nMaybe eighteen is too early\nMaybe thirty or forty is too\nDid you get your chance to make peace with the man\nBefore he sent down his angels for you?\n\n[Chorus 1]\nMamas and grandmamas love you\nCause that's all they know how to do\nYou never planned on the bombs in the sand\nOr sleeping in your dress blues\n\n[Verse 2]\nYour wife said this all would be funny\nWhen you came back home in a week\nYou'd turn twenty-two and we'd celebrate you\nIn a bar or a tent by the creek\nYour baby would just about be here\nYour very last tour would be up\nBut you won't be back. They're all dressing in black\nDrinking sweet tea in styrofoam cups\n\n[Chorus 2]\nMamas and grandmamas love you\nAmerican boys hate to lose\nYou never planned on the bombs in the sand\nOr sleeping in your dress blues\n\n[Verse 3]\nNow the high school gymnasium's ready\nFull of flowers and old legionnaires\nNobody showed up to protest\nThey just sniffle and stare\nBut there's red, white, and blue in the rafters\nThere's silent old men from the corps\nWhat did they say when they shipped you away\nTo give all in some God awful war?\n\n[Chorus 3]\nNobody here could forget you\nYou showed us what we had to lose\nYou never planned on the bombs in the sand\nOr sleeping in your dress blues\nOh, you never planned on the bombs in the sand\nOr sleeping in your dress blues\n\n[Outro]\nYou never planned on the bombs in the sand\nOr sleeping in your dress blues","737014","Dress Blues","22928","Zac Brown Band"
"[Verse 1]\nEvery morning when you come downstairs\nHair's a mess but I don't care\nNo makeup on and shining so bright\nMy old sweatshirt never fit so right\nDancing around to the radio\nHumming the words that you don't know\nCross off finding an angel off my list\nThinking that it don't get no better than this\n\n[Chorus]\nYou make loving you easy\nYou make loving you all I wanna do\nEvery little smile and every single touch\nReminds me just how much it all makes\nLoving you easy\n\n[Verse 2]\nWrapped around me late at night\nPillow talk by candle light\nGonna slow this down and make it last\nThe best things fly by us so fast\n\n[Chorus]\nYou make loving you easy\nYou make loving you all I wanna do\nEvery little smile and every single touch\nReminds me just how much it all makes\nLoving you easy\n\n[Bridge]\nOh, I wanna sing it again\n\n[Chorus]\nYou make loving you easy\nYou make loving you all I wanna do\nEvery little smile and every single touch\nReminds me just how much it all makes\nLoving you easy","1396676","Loving You Easy","22928","Zac Brown Band"
"[Verse 1]\nHow come all the pretty girls like you are taken baby\nI've been looking for someone like you to save me\nLife's too easy to be so damn complicated\nTake your time and I'll be waiting\n\n[Chorus]\nKeep me in mind\nSomewhere down the road, you might get lonely\nKeep me in mind\nAnd I pray someday that you will love me only\n\n[Verse 2]\nI think about you somedays\nAnd the way I would lay and waste a day after day with you\nWe always go our separate ways\nBut no one can love you baby the way I do\n\n[Chorus]\n\n[Verse 3]\nWell, the world can be real tough\nFind shelter in me\nIf there's no one else to love\nKeep me in mind\nIf ever you wanted me, I'll be your man\nI'd be a fool to let you go with someone else\nWhatever you want from me, I'll be your man\nI'd give it all up just to have you for myself\n\n[Chorus]\n\n[Bridge]\nWell, the world can be real tough\nWhy don't you hold on to me\nWhen there's no one else to love\n\n[Outro]\nKeep me in mind\n(Keep me in mind)\nAnd I'll hold you, darling\n(Keep me in mind)\nI'll be your man\n(Keep me in mind)\nI'll hold you, darling\n(Keep me in mind)\nCome on little mama\nPut it on me","332392","Keep Me in Mind","22928","Zac Brown Band"
"[Verse 1]\nI got a piece of land out in the countryside\nLay back and smell the sun warm up the Georgia pine\nFeels so good to be taking it easy\nWhy would I ever leave? Cause I know\n\n[Chorus]\nI got some good friends that live down the street\nGot a good looking woman with her arms 'round me\nHere in a small town, where it feels like home\nI've got everything I need and nothing that I don't\nHomegrown\nHomegrown\n\n[Verse 2]\nWe got a fire going down by the riverside\nSip whiskey out the bottle, living like we'll never die\nCome on and stay a while if you don't believe me\nWhy would I ever leave, cause I know\n\n[Chorus]\nI got some good friends that live down the street\nGot a good looking woman with her arms 'round me\nHere in a small town, where it feels like home\nI've got everything I need and nothing that I don't\nHomegrown\nHomegrown\nI got some good friends that live down the street\nGot a good looking woman with her arms 'round me\nHere in a small town, where it feels like home\nI've got everything I need\nHomegrown\nAnd nothing that I don't\nHomegrown\nEverything I need\nHomegrown\nAnd nothing I don't\nHomegrown\n\n[Bridge]\nIt's the weight that you carry from the things\nThat you think you want\nIt's the weight that you carry from the things\nThat you think you want\nWeight you carry\nIt's the weight that you carry from the things\nThat you think you want\nIt's the weight that you carry from the things\nThat you think you want\n\n[Outro]\nI've got everything I need, nothing that I don't\nHomegrown\nEverything I need, nothing that I don't\nHomegrown\nEverything I need, nothing that I don't\nHomegrown\nOh, everything I need and nothing that I don't\nHomegrown","673164","Homegrown","22928","Zac Brown Band"
"[Verse 1]\nGoing to put the the world away for a minute\nPretend I don't live in it\nSunshine going to wash my blues away\nHad sweet love but I lost it\nShe got too close so I fought her\nNow I'm lost in the world trying to find me a better way\n\n[Chorus]\nWishing I was knee deep in the water somewhere\nGot the blue sky breeze and it doesn't seem fair\nOnly worry in the world is the tide going to reach my chair\nSunrise, there's a fire in the sky\nNever been so happy\nNever felt so high\nAnd I think I might have found me my own kind of paradise\n\n[Verse 2: Jimmy Buffett]\nWrote a note said be back in a minute\nBought a boat and I sailed off in it\nDon't think anybody going to miss me anyway\nMind on a permanent vacation\nThe ocean is my only medication\nWishing my condition ain't ever going to go away\n\n[Chorus]\nWishing I was knee deep in the water somewhere\nGot the blue sky breeze blowing wind through my hair\nOnly worry in the world is the tide going to reach my chair\nSunrise, there's a fire in the sky\nNever been so happy\nNever felt so high\nAnd I think I might have found me my own kind of paradise\n\n[Bridge]\nThis champagne shore washing over me\nIt's a sweet sweet life living by the salty sea\nOne day you could be as lost as me\nChange your geography\nMaybe you might be\n\n[Chorus]\nKnee deep in the water somewhere\nGot the blue sky breeze blowing wind through my hair\nOnly worry in the world is the tide going to reach my chair\nSunrise, there's a fire in the sky\nNever been so happy\nNever felt so high\nAnd I think I might have found me my own kind of paradise\n\n[Outro]\nCome on in the water's nice\nFind yourself a little slice\nGrab a backpack of lies\nYou never know until you try\nWhen you lose yourself\nYou find the key to paradise","196848","Knee Deep (Ft. Jimmy Buffett)","22928","Zac Brown Band"
"[Verse 1]\nHe was born in the woods\nTorn from his home\nWell, he was naked\nAnd destined\nTo be out on his own\nAnd he waited in darkness\nHoping someone might see\nFrom something so rough\nWhat a treasure he'd be\n\n[Chorus]\nStronger than steel and wood\nSeen me through the bad and good\nAnd when I'm hanging by a string\nEvery little thing\nIs understood\nBetween Martin and me\n\n[Verse 2]\nWell he's hollow in the middle\nFrom the shape that he's in\nHe's either filled up with music\nOr locked in his shell again\nAnd it takes some fine tuning\nTo make him come around\nBut he's a huge piece of me\nAnd I'll never put him down\n\n[Chorus]\n\n[Verse 3]\nHe is a good friend\nAnd he has his own voice\nAnd you get what you give\nSometimes it's just noise\nBut if you treat him well\nHe will last your life long\nAnd if you're honest and open\nWell, he will write you a song\n(Write you a song, write you a song)\n\n[Chorus][x2]","332437","Martin","22928","Zac Brown Band"
"[Intro]\nYou know I like my chicken fried\nCold beer on a Friday night\nA pair of jeans that fit just right\nAnd the radio up\n\n[Verse 1]\nWell I was raised up beneath the shade of a Georgia Pine\nAnd that's home you know\nSweet tea, pecan pie, and homemade wine where the peaches grow\nAnd my house it's not much to talk about\nBut it's filled with love that's grown in southern ground\n\n[Chorus]\nAnd a little bit of chicken fried\nCold beer on a Friday night\nA pair of jeans that fit just right\nAnd the radio up\nWell I've seen the sun rise\nSee the love in my woman's eyes\nFeel the touch of a precious child\nAnd know a mother's love\n\n[Verse 2]\nIt's funny how it's the little things in life that mean the most\nNot where you live, what you drive, or the price tag on your clothes\nThere's no dollar sign on a piece of mind\nThis I've come to know\nSo if you agree, have a drink with me\nRaise you glasses for a toast\n\n[Chorus]\nTo a little bit of chicken fried\nCold beer on a Friday night\nA pair of jeans that fit just right\nAnd the radio up\nWell I've seen the sun rise\nSee the love in my woman's eyes\nFeel the touch of a precious child\nAnd know a mother's love\n\n[Interlude]\n\n[Verse 3]\nI thank God for my life\nAnd for the stars and stripes\nMay freedom forever fly, let it ring\nSalute the ones who died\nThe ones that give their lives so we don't have to sacrifice\nAll the things we love\n\n[Chorus]\nLike our chicken fried\nAnd cold beer on a Friday night\nA pair of jeans that fit just right\nAnd the radio up\nWell I've seen the sun rise\nSee the love in my woman's eyes\nFeel the touch of a precious child\nAnd know a mother's love\n\n[Chorus 2]\nGet your little chicken fried\nCold beer on a Friday night\nA pair of jeans that fit just right\nAnd the radio up\nWell I've done seen the sun rise\nSee the love in my woman's eyes\nFeel the touch of a precious child\nAnd know a mother's love","82215","Chicken Fried","22928","Zac Brown Band"
"[Verse 1]\nShe'd trade Colorado if he'd take her with him\nCloses the door 'fore the winter lets the cold in\nAnd wonders if her love is strong enough to make him stay\nShe's answered by the taillights shinin' through the window pane\n\n[Chorus]\nHe said, I want to see you again\nBut I'm stuck in colder weather\nMaybe tomorrow will be better\nCan I call you then?\nShe said, you're ramblin' man\nAnd you ain't ever gonna change\nYou've got a gypsy soul to blame\nAnd you were born for leavin'\n\n[Verse 2]\nAt a truck stop diner, just outside of Lincoln\nThe night is black as the coffee he was drinkin'\nAnd in the waitress' eyes he sees the same old light is shinin'\nHe thinks of Colorado and the girl he left behind him\n\n[Chorus]\nHe said, I want to see you again\nBut I'm stuck in colder weather\nMaybe tomorrow will be better\nCan I call you then?\nShe said, you're ramblin' man\nAnd you ain't ever gonna change\nYou've got a gypsy soul to blame\nAnd you were born for leavin'\nBorn for leavin'\n\n[Bridge]\nWell, it's a windin' road\nWhen you're in the lost and found\nYou're a lover, I'm a runner\nAnd we go 'round and 'round\nAnd I love you, but I leave you\nI don't want you, but I need you\nYou know it's you that calls me back here, baby\n\n[Alternate Chorus]\nOh, I want to see you again\nBut I'm stuck in colder weather\nMaybe tomorrow will be better\nCan I call you then?\n'Cause I'm a ramblin' man\nI ain't ever gonna change\nI've got a gypsy soul to blame\nAnd I was born for leavin'\nBorn for leavin'\n\n[Outro]\nWhen I close my eyes I see you\nNo matter where I am\nI can smell your perfume through these whisperin' pines\nI'm with your ghost again\nIt's a shame about the weather\nBut I know soon we'll be together\nAnd I can't wait 'til then\nI can't wait 'til then","332375","Colder Weather","22928","Zac Brown Band"
