"line","song_id","song_name","artist_id","artist_name"
"[Intro]\nHe who makes a beast out of himself\nGets rid of the pain of being a man\n\n[Verse 1]\nCaught here in a fiery blaze, won't lose my will to stay\nI tried to drive all through the night\nThe heat stroke ridden weather, the barren empty sights\nNo oasis here to see\nThe sand is singing deathless words to me\n\n[Chorus]\nCan't you help me? As I'm startin' to burn\n(All alone)\nToo many doses and I'm starting to get an attraction\nMy confidence is leaving me on my own\n(All alone)\nNo one can save me and you know I don't want the attention\n\n[Verse 2]\nAs I adjust to my new sights\nThe rarely tired lights will take me to new heights\nMy hand is on the trigger I'm ready to ignite\nTomorrow might not make it but everything's all right\n\n[Bridge]\nMental fiction follow me\nShow me what it's like to be set free\n\n[Chorus]\nCan't you help me? As I'm startin' to burn\n(All alone)\nToo many doses and I'm starting to get an attraction\nMy confidence is leaving me on my own\nNo one can save me and you know I don't want the attention\n\n[Verse 3]\nI'm so sorry you're not here\nI've been sane too long my vision's so unclear\nNow take a trip with me\nBut don't be surprised when things aren't what they seem\nCaught here in a fiery blaze, won't lose my will to stay\nThese eyes won't see the same, after I flip today\nSometimes I don't know why we'd rather live than die\nWe look up towards the sky for answers to our lives\nWe may get some solutions but most just pass us by\nDon't want your absolution cause I can't make it right\nI'll make a beast out of myself\nGets rid of all the pain of being a man\n\n[Chorus]\nCan't you help me? As I'm startin' to burn\n(All alone)\nToo many doses and I'm starting to get an attraction\nMy confidence is leaving me on my own\nNo one can save me and you know I don't want the attention\n\n[Verse 4]\nSo sorry you're not here\nI've been sane too long my vision's so unclear\nNow take a trip with me\nBut don't be surprised when things aren't what they seem\nI've known it from the start\nAll these good ideas will tear your brain apart\nScared but you can follow me\nI'm too weird to live but much too rare to die","79515","Bat Country","20710","Avenged Sevenfold"
"[Verse 1]\nSo I arrived, naked and cold\nA welcomed change from the abeyance of a ghost town catacomb\nNo need for counsel, I appreciate the time, I'm not alone\n(Why don't you get my lawyer on the phone?)\nThere were days these child eyes\nWould overlook the ugliness and fantasize\nI found my heart for the first time and I awakened in me\nI left myself to navigate and oh I felt control\n(It seems these sheep have quite an appetite)\n\n[Chorus 1]\nWho is the crowd that peers through the cage\nAs we perform here upon the stage?\n\n[Verse 2]\nAs the boy became a man\nIn came a calm sophistication I can hardly understand\nSo lost in ego, didn't notice when the time had slipped away\n(Yeah, everybody's got a sob story)\nJesus Christ was born to die\nLeave it to man to levitate his own to idolize\nWe're simply sociopaths with no communication, baby\nI see your angle but we differ from our points of view\n(So tell me, what's your cross to bear?)\n\n[Chorus 2]\nWho is the crowd that peers through the cage\nAs we perform here upon the stage?\nTell me a lie in a beautiful way\nI believe in answers, just not today\n\n[Bridge]\nHope my wheels don't abandon me now\nSeein' that I'm out here alone\nI'm runnin' out of fight\nAnd the wind speaks a comforting voice\nGuiding me to her arms\nMother, I'm alright\nIt took the birth of sin to snake-rattle the mind\nBefore a blow to the head\nBy the gavel of time to wake up\nWon't you wake up?\nWhen did the walking apes decide that nuclear war\nWas now the only solution for them keeping the score?\nJust wake up\nCan't you wake up?\n(You do know this is just a simulation, don’t you?)\n\n[Chorus 2]\nWho is the crowd that peers through the cage\nAs we perform here upon the stage?\nTell me a lie in a beautiful way\nI believe in answers, just not today","2880734","The Stage","20710","Avenged Sevenfold"
"Standing in the shade of altruism, answering the call\nCame a modern messiah to save us all\nSomething far beyond the work of fiction, Positronic brain\nA world that's void of all the anguish and suffering, pain\n\nBetter tame your convictions before you go and open the cage\nWe're creating god, master of our designs\nWe're creating god, unsure of what we'll find\n\nNever held a high regard for Darwin, selection takes too long\nA little kick in the pool shouldn't do us wrong\nDevouring the very last invention man would ever need\nBut exponential growth is a frightening thing, indeed\n\nSweet bohemian jury rounded up and hung in the streets\nWe're creating god, master of our designs\nWe're creating god, unsure of what we'll find\n\nSometimes when I look up to the sky I have to wonder are we ""summoning the demon"" you and I?\n\nHave you noticed that I'm needin' it more now, more than it needs me\nGot a couple of billion that seem to agree\nSurfing in an artificial dimension, but we're not alone\nNow the master has become just a stepping stone, oh\n\nLike a blow to the ego the bitter pills are harder to take\nWe're creating god, master of our designs\nWe're creating god, unsure of what we'll find\nWe're creating god, in search of the divine\nWe're creating god. Committing suicide","2893914","Creating God","20710","Avenged Sevenfold"
"[Verse 1]\nStaring at the carnage, praying that the sun would never rise\nLiving another day in disguise\nThese feelings can't be right, lend me your courage to stand up and fight, on tonight\n\nThe fighting rages on and on, to challenge me you must be strong\nI walk your land but don't belong, two million soldiers can't be wrong\n\n[Verse 2]\nIt's no fun but I've been here before\nI'm far from home and I'm fighting your war\n(Not the way I pictured this, I wanted better things)\nSome are scared others killing for fun, I shot a mother right in front of her son\n(Take this from my consciousness, and please erase my dreams)\n\n[Chorus]\nFight for honor, fight for your life\nPray to God that our side is right\nEven though we won, I still may lose\nUntil I make it home to you\nI see our mothers filled with tears\nGrew up so fast where did those years go?\nMemories won't let you cry\nUnless I don't return tonight\n\nSo many soldiers on the other side, I take their lives so they can't take mine\n(Scared to make it out alive now murder's all I know.)\nNobody tells me all the reasons we're here\nI have my weapons so there's nothing to fear\n(Another day, another life, but nothing real to show for)\n\n[Chorus]\n\n[Verse 3]\nStaring at the carnage, praying that the sun would never rise\nLiving another day in disguise\nThese feelings can't be right, lend me your courage to stand up and fight\n\n[Verse 4]\nWatching the death toll rise wondering how I'm alive\nStranger's blood on my hands, I have shot all I can\nThere are no silent nights, watching your brothers all die\nTo destroy all their plans with no thought of me\nNo thought of me, no thought of me\n\n[Outro]\nWalk the city lonely\nMemories that haunt are passing by\nA murderer walks your street tonight\nForgive me for my crimes, don't forget that I was so young\nFought so scared in the name of God and country","181107","M.I.A.","20710","Avenged Sevenfold"
"[Intro]\nSkull!\n(They all know, they all know! )\n\n[Verse 1]\nSorry, did I wake your dreams?\nSome questions run too deep\nWe only (only) wake up when we sleep\nLed by the lunar light, trouble's all we find\nLost our way tonight\n\n[Pre-Chorus 1]\nIs it something we said?\nIs it something we said to them?\nIs it something we said?!\n\n[Chorus]\n(Save me)\nI'm trapped in a vile world\n(Save me)\nWhere the endings are the same as every other\nWe're only here to die\n(Save me)\nI'm losing my only dream\n(Save me)\nI can use some guiding light, some place to go\nIf you hear me, let me know\n\n(They all know, They all know! )\n\n[Verse 2]\nEver since the day you left my fate's been set unknown\nHow many years to walk this path alone?\nSo much to see tonight, so why'd you close your eyes?\nWhy can't I shut mine?\n\n[Pre-Chorus 2]\nIs it something we did?\nIs it something we did to them?\nIs it something we did?!\n\n[Chorus]\n(Save me)\nI'm trapped in a vile world\n(Save me)\nWhere the endings are the same as every other\nWe're only here to die\n(Save me)\nI'm losing my only dream\n(Save me)\nI can use some guiding light, some place to go\nIf you hear me, let me know\nIf you hear me, let me know\n\n[Guitar Solo]\n\nSo, help me find my way\nI said help me find my way, yeah\n\n[Verse 3]\nNo pulse inside of me\nStone cold lips and heresy\nAll lies and to a degree\nLosing who I want to be\nFind out, right now\n\n[Verse 4]\nHe may be out of his mind, but someday you will find\nThat sanity left us all blind, and dragged us all behind\nA moment seen through those eyes, crystal blue disguise\nThey say that all beauty must die, I say it just moves on...\n\n[Verse 5]\nIf you'd only open your mind, then some day you will find\nInsanity left us behind, and walked right through the door\nI can see the picture's clear as yesterday, pictures all my own\nI can hear the voices begging you to stay, but know you're not alone\n\n[Chorus]\n(Save me)\nI'm trapped in a vile world\n(Save me)\nWhere the endings are the same as every other\nWe're only here to die\n(Save me)\nI'm losing my only dream\n(Save me)\nI can use some guiding light, some place to go\nIf you hear me, let me know\nIf you hear me, let me know\n\n[Outro]\nTonight we all die young\nTonight we all die young\nTonight we all die young\nTonight we all die young\nTonight we all die young\nTonight we all die young\nTonight we all die\nTonight we all die young","196796","Save Me","20710","Avenged Sevenfold"
"[Verse 1]\nA lonely road, crossed another cold state line\nMiles away from those I love, purpose hard to find\nWhile I recall all the words you spoke to me\nCan't help but wish that I was there\nBack where I'd love to be, oh yeah\n\n[Chorus]\nDear God, the only thing I ask of you\nIs to hold her when I'm not around\nWhen I'm much too far away\nWe all need that person who can be true to you\nBut I left her when I found her\nAnd now I wish I'd stayed\nCause I'm lonely and I'm tired\nI'm missing you again, oh no...\nOnce again\n\n[Verse 2]\nThere's nothing here for me, on this barren road\nThere's no one here while the city sleeps\nAnd all the shops are closed\nCan't help but think of the times I've had with you\nPictures and some memories will have to help me through, oh yeah\n\n[Chorus]\nDear God, the only thing I ask of you\nIs to hold her when I'm not around\nWhen I'm much too far away\nWe all need that person who can be true to you\nBut I left her when I found her\nAnd now I wish I'd stayed\nCause I'm lonely and I'm tired\nI'm missing you again, oh no...\nOnce again\n\n[Verse 3]\nSome search, never finding a way\nBefore long, they waste away\nI found you, something told me to stay\nI gave in, to selfish ways\nAnd how I miss someone to hold\nWhen hope begins to fade...\n\n[Refrain]\nA lonely road, crossed another cold state line\nMiles away from those I love, purpose hard to find\n\n[Chorus]\nDear God, the only thing I ask of you\nIs to hold her when I'm not around\nWhen I'm much too far away\nWe all need that person who can be true to you\nBut I left her when I found her\nAnd now I wish I'd stayed\nCause I'm lonely and I'm tired\nI'm missing you again, oh no...\nOnce again","229221","Dear God","20710","Avenged Sevenfold"
"[Verse 1]\nGone, cast away in time\nEvil yours, now evil mine\nSo, I robbed you blind\nThe voices in my head suggest a less-than-peaceful side\nThe endless possibilities controlling 935\n\n[Chorus 1]\n(You can't break me) Crush the fears of yesterday\n(You can't save me) Barriers - our trust will fade\nI've stood in the dark, been waiting all this time\nWhile we damn the dead I'm trying to survive\nI'm not ready to die\n\n[Verse 2]\nDamned, watch the masses fall\nBurn it down, control 'em all\n(Let 'em bleed) Make them crawl\nTo daddy's little girl to read the writings on the wall\nWhile cast into the nothingness, the final curtain call\n\n[Chorus 1]\n(You can't break me) Crush the fears of yesterday\n(You can't save me) Barriers - our trust will fade\nI've stood in the dark, been waiting all this time\nWhile we damn the dead I'm trying to survive\nI'm not ready to die\n\n[Verse 3]\nThrough the madness we find\nLoyalty is no match for power\nSay goodbye to your life\nLeft to rot in your darkest hour\nPrayers won't help you now\nAs long as you're mine\n\n[Instrumental Bridge]\n\n[Chorus 2]\n(You can't break me) Crush the fears of yesterday\n(You can't save me) Barriers - our trust will fade\nI've stood in the dark, been waiting all this time\nWhile we damn the dead I'm trying to survive\nI'll control the world\nOne person at a time\nAs I damn the dead I'm trying to survive\nI'm not ready to die\nOh\n\n[Outro]\nI'm not ready to die\nI'm not ready to die\nI'm not ready to die\nI'm not ready to die\nReady to die\nReady to die\nReady to die\nNot ready to die","229716","Not Ready to Die","20710","Avenged Sevenfold"
"[Verse 1]\nThis shining city built of gold\nA far cry from innocence\nThere's more than meets the eye around here\nLook to the waters of the deep\n\nA city of evil\n\nThere sat a seven-headed beast\nTen horns raised from his head\nSymbolic woman sits on his throne\nBut hatred strips her and leaves her naked\n\nThe beast and the harlot\n\n[Chorus]\nShe's a dwelling place for demons\nShe's a cage for every unclean spirit, every filthy bird\nAnd makes us drink the poisoned wine to fornicating with our kings\nFallen now is Babylon the great\n\n[Verse 2]\nThe city dressed in jewels and gold\nFine linen, myrrh and pearls\nHer plagues will come all at once\nAs her mourners watch her burn\n\nDestroyed in an hour\n\nMerchants and captains of the world\nSailors navigators too\nWill weep and mourn this loss\nWith her sins piled to the sky\n\nThe beast and the harlot\n\n[Chorus]\n\n[Bridge]\nThe day has come for all us sinners\nIf you're not a servant, you'll be struck to the ground\nFlee the burning, greedy city\nLooking back on her to see there's nothin' around\n\nI don't believe in fairy tales and no one wants to go to Hell\nWe've made the wrong decision and it's easy to see\nNow if you wanna serve above or be a king below with us\nYou're welcome to the city where your future is set forever\n\n[Chorus X2]","181096","Beast and the Harlot","20710","Avenged Sevenfold"
"[Intro]\nNIGHTMARE!\nNow your nightmare comes to life\n\n[Verse 1]\nDragged ya down below down to the devil's show\nTo be his guest forever (Peace of mind is less than never)\nHate to twist your mind, but God ain't on your side\nAn old acquaintance severed (Burn the world your last endeavor)\nFlesh is burning, you can smell it in the air\nBecause men like you have such an easy soul to steal (steal)\nSo stand in line while they ink numbers in your head\nYou're now a slave until the end of time here\nNothing stops the madness turning, haunting, yearning pull the trigger\n\n[Chorus]\nYou should have known the price of evil\nAnd it hurts to know that you belong here, yeah\nOooooooh, it's your fucking nightmare\nWhile your nightmare comes to life\n\n[Verse 2]\nCan't wake up in sweat, `cause it ain't over yet\nStill dancing with your demons (Victim of your own creation)\nBeyond the will to fight, where all that's wrong is right\nWhere hate don't need a reason (Loathing self-assassination)\nYou've been lied to just to rape you of your sight\nAnd now they have the nerve to tell you how to feel (feel)\nSo sedated as they medicate your brain\nAnd while you slowly go insane they tell you:\n""Given with the best intentions, help you with your complications""\n\n[Chorus 2]\nYou should have known the price of evil\nAnd it hurts to know that you belong here, yeah\nNo one to call, everybody to fear\nYour tragic fate is looking so clear, yeah\nOooooooh, it's your fucking nightmare\nHA! HA! HA! HA!\n\n[Guitar Solo]\n\n[Verse 3]\n(Maniacal laughter)\nFight (Fight!), not to fail (fail!), not to fall (fall!)\nOr you'll end up like the others\nDie (Die!), die again (die!), drenched in sin (sin!)\nWith no respect for another\nOH!\nDown(Down!), feel the fire(fire!), feel the hate(hate!)\nYour pain is what we desire\nLost (Lost!), hit the wall (wall!), watch you crawl (crawl!)\nSuch a replaceable liar\n\n[Bridge]\nAnd I know you hear their voices (Calling from above)\nAnd I know they may seem real (These signals of love)\nBut our life's made up of choices (Some without appeal)\nThey took for granted your soul\nAnd it's ours now to steal\nAs your nightmare comes to life\n\n[Chorus 2]\nYou should have known the price of evil\nAnd it hurts to know that you belong here, yeah\nNo one to call, everybody to fear\nYour tragic fate is looking so clear, yeah\nOooooooh, it's your fucking nightmare","196778","Nightmare","20710","Avenged Sevenfold"
"[Intro]\nProdigia\nComploratus\nSilens, oro\nRegnet exitium\n\n[Verse 1]\nDays of warning\nNight brings mourning\nMy prayers, wordless\nHeaven is burning down\nI walk stricken\nPitch-black vision\nO'one save me\nCaress my weary eyes\n\n[Chorus]\nDarkest Lord your mercy shall I gain\nStrike the match, engulf the earth in flames, in flames, in flames, in flames\n\n[Verse 2]\nNature quaking\nProphets aching\nI kneel, faithful\nDamnation cracks the sky\nMy heart, Fiction\nSuperstition\nYour grace, deathless\nGive life to my last breath\n\n[Chorus]\n\n[Bridge]\nGrant them eternal rest in your honor\nEmbrace them into an army of undead\nStrike with vengeance those who oppose your will\nAnd lay waste to all unsufficently served before you\nWalk with them and free them from the blinding light of servitude\nAnd devastate your enemies as they die by your hand\nAmen\n\n[Verse 3]\nRise from ashes\nViolence clashes\nMy soul vacant\nCleanse me of all this sin\nI stand guilty\nI bleed filthy\nNo more fire\nSavor this final hour\n\n[Chorus]","208356","Requiem","20710","Avenged Sevenfold"
