"line","song_id","song_name","artist_id","artist_name"
"Part 1: Jesus of Suburbia\n\n[Verse 1]\nI'm the son of rage and love\nThe Jesus of Suburbia\nFrom the bible of ""None of the above""\nOn a steady diet of soda pop and Ritalin\nNo one ever died for my sins in hell\nAs far as I can tell\nAt least the ones I got away with\n\n[Chorus]\nAnd there's nothing wrong with me\nThis is how I'm supposed to be\nIn the land of make believe\nThat don't believe in me\n\n[Verse 2]\nGet my television fix sitting on my crucifix\nThe living room in my private womb\nWhile the moms and Brads are away\nTo fall in love and fall in debt\nTo alcohol and cigarettes\nAnd Mary Jane to keep me insane\nAnd doing someone else's cocaine\n\n[Chorus]\nAnd there's nothing wrong with me\nThis is how I'm supposed to be\nIn a land of make believe\nThat don't believe in me\n\nPart 2: City of the Damned\n\n[Verse 1]\nAt the center of the Earth in the parking lot\nOf the 7-11 where I was taught\nThe motto was just a lie\nIt says ""home is where your heart is""\nBut what a shame\n'Cause everyone's heart doesn't beat the same\nIt's beating out of time\n\n[Chorus]\nCity of the dead\nAt the end of another lost highway\nSigns misleading to nowhere\nCity of the damned\nLost children with dirty faces today\nNo one really seems to care\n\n[Verse 2]\nI read the graffiti in the bathroom stall\nLike the holy scriptures of the shopping mall\nAnd so it seemed to confess\nIt didn't say much, but it only confirmed\nThat the center of the earth is the end of the world\nAnd I could really care less\n\n[Chorus]\nCity of the dead\nAt the end of another lost highway\nSigns misleading to nowhere\nCity of the damned\nLost children with dirty faces today\nNo one really seems to care\n\nPart 3: I Don't Care\n\n[Intro]\nI don't care if you don't, I don't care if you don't\nI don't care if you don't care\nI don't care if you don't, I don't care if you don't\nI don't care if you don't care\nI don't care if you don't, I don't care if you don't\nI don't care if you don't care\nI don't care if you don't, I don't care if you don't\nI don't care if you don't care\nI don't care\n\n[Verse]\nEveryone is so full of shit\nBorn and raised by hypocrites\nHearts recycled but never saved\nFrom the cradle to the grave\n\nWe are the kids of war and peace\nFrom Anaheim to the Middle East\nWe are the stories and disciples of\nThe Jesus of Suburbia\n\n[Chorus]\nLand of make believe\nAnd it don't believe in me\nLand of make believe (It's another lie!)\nAnd it don't believe in me\n\nAnd I don't care!\nI don't care!\nI don't care!\nI don't care!\nI don't care!\n\nPart 4: Dearly Beloved\n\n[Verse 1]\nDearly beloved, are you listening?\nI can't remember a word that you were saying\nAre we demented or am I disturbed?\nThe space that's in between insane and insecure\n\n[Verse 2]\nOh therapy, can you please fill the void?\nAm I retarded or am I just overjoyed?\nNobody's perfect and I stand accused\nFor lack of a better word, and that's my best excuse\n\nPart 5: Tales of Another Broken Home\n\n[Verse]\nTo live and not to breathe is to die in tragedy\nTo run, to run away, to find what you believe\nAnd I leave behind this hurricane of fucking lies\n\nI lost my faith to this, this town that don't exist\nSo I run, I run away to the light of masochists\nAnd I leave behind this hurricane of fucking lies\nAnd I walked this line a million and one fucking times\nBut not this time\n\n[Outro]\nI don't feel any shame, I won't apologize\nWhen there ain't nowhere you can go\nRunning away from pain when you've been victimized\nTales from another broken home\n\nYou're leaving\nYou're leaving\nYou're leaving\nAh, you're leaving home","63752","Jesus of Suburbia","632","Green Day"
"Part 1: The Death of St. Jimmy\n\n[Intro]\nMy heart is beating from me\nI am standing all alone\nPlease call me only if you are coming home\nWaste another year flies by\nWaste a night or two\nYou taught me how to live\n\n[Verse 1]\nIn the streets of shame\nWhere you've lost your dreams in the rain\nThere's no signs of hope\nThe stems and seeds of the last of the dope\nThere's a glow of light\nThe St. Jimmy is the spark in the night\nBearing gifts and trust\nThe fixture in the city of lust\n\nWhat the hell's your name?\nWhat's your pleasure and what is your pain?\nDo you dream too much?\nDo you think what you need is a crutch?\n\n[Verse 2]\nIn the crowd of pain\nSt. Jimmy comes without any shame\nHe says “We're fucked up, but we're not the same\nAnd Mom and Dad are the ones you can blame""\n\nJimmy died, today\nHe blew his brains out into the bay\nIn the state of mind\nIt's my own private suicide\n\nPart 2: East 12th St\n\n[Intro]\nWell nobody cares, well nobody cares\nDoes anyone care if nobody cares?\nWell nobody cares, well nobody cares\nDoes anyone care if nobody cares?\n\n[Verse]\nJesus filling out paperwork, now\nAt the facility on East 12th St\nHe's not listening to a word, now\nHe's in his own world and he's daydreaming\n\nHe'd rather be doing something else, now\nLike cigarettes and coffee with the underbelly\nHis life's on the line with anxiety, now\nAnd she had enough and he had plenty\n\n[Interlude]\nSomebody get me out of here\nAnybody get me out of here\nSomebody get me out of here\nGet me the fuck right out of here\n\n[Outro]\nSo far away, I don't want to stay\nGet me out of here, right now\nI just wanna be free, is there a possibility?\nGet me out of here, right now\nThis life like dream ain't for me\n\nPart 3: Nobody Likes You\n\n[Verse]\nI fell asleep while watching Spike TV\nAfter ten cups of coffee, and you're still not here\nDreaming of a song, but something went wrong\nAnd you can't tell anyone, 'cause no one's here\nLeft me here alone when I should have stayed home\nAfter ten cups of coffee, I'm thinking (Where'd you go?)\n\n[Chorus]\nNobody likes you, everyone left you (Where'd you go?)\nThey're all out without you, havin' fun (Where'd you go?)\nEveryone left you, nobody likes you (Where'd you go?)\nThey're all out without you, havin' fun\n(Where'd you go... go... go... go...)\n\nPart 4: Rock and Roll Girlfriend\n\n[Intro]\nGeez... Ha...\n\n[Verse]\nI got a rock and roll band, I got a rock and roll life\nI got a rock and roll girlfriend and another ex-wife\nI got a rock and roll house, I got a rock and roll car\nI play the shit out the drums, and I can play the guitar\n\nI got a kid in New York, I got a kid in the Bay\nI haven't drank or smoked nothing in over 22 days\n(Don't want to be an American idiot)\nSo, get off my case, off of my case\nOff of my case!\n\nPart 5: We're Coming Home Again\n\n[Verse]\nHere they come, marching down the street\nLike a desperation murmur of a heart beat\nComing back from the edge of town\nUnderneath their feet\n\nThe time has come and it's going nowhere\nNobody ever said that life was fair, now\nGo-carts and guns are treasures they will bear\nIn the summer heat\n\n[Pre-Chorus]\nThe world is spinning 'round\nAnd 'round, out of control again\nFrom the 7-11\nTo the fear of breaking down\n\nSo send my love a letterbomb\nAnd visit me in hell\nWe're the ones going\n\n[Refrain]\nHome, we're coming home again\nHome, we're coming home again\n\n[Interlude]\nI started fuckin' running\nJust as soon as my feet touch ground\nWe're back in the barrio\nBut to you and me, that's Jingle Town, that's...\n\n[Refrain]\nHome, we're coming home again\nHome, we're coming home again\nHome, we're coming home again\nHome, we're coming home again\nHome, we're coming home again\nHome, we're coming home again\nHome, we're coming home again\nHome, we're coming home again\nHome, we're coming home again\n\n(No! Fuck off! Just go! I don’t care! I don’t! I don’t know! I smashed my phone! Just go! I don’t care! I don’t! I don’t know! I smashed my phone!)\n\n[Outro]\nNobody likes you, everyone left you\nThey're all out without you, havin' fun","66874","Homecoming","632","Green Day"
"[Intro: Billie Joe Armstrong]\nSing us the song of the century\nIt sings like American eulogy\nThe dawn of my love and conspiracy\nOf forgotten hope and the class of 13\nTell me a story into that goodnight\nSing us a song for me\n\nPart I: Mass Hysteria\n\n[Chorus: Armstrong]\nHysteria\nMass hysteria\nMass hysteria\nMass hysteria\n\n[Verse 1: Armstrong]\nRed alert is the color of panic\nElevated to the point of static\nBeating into the hearts of the fanatics\nAnd the neighborhood's a loaded gun\n\nIdle thought leads to full-throttle screaming\nAnd the welfare's asphyxiating\nMass confusion is all the new rage\nAnd it's creating a feeding ground\nFor the bottom feeders of hysteria\n\n[Chorus: Armstrong]\nMass hysteria\nMass hysteria\nMass hysteria\n\n[Verse 2: Armstrong]\nTrue sounds of maniacal laughter\nAnd the deaf-mute's misleading the choir\nThe punch-line is a natural disaster\nAnd it's sung by the unemployed\n\nFight fire with a riot\nThe class war is hanging on a wire\nBecause the martyr is a compulsive liar\nWhen he said, ""It's just a bunch of niggers\nThrowing gas into the hysteria""\n\n[Chorus: Armstrong]\nMass hysteria\nMass hysteria\nMass hysteria\n\n[Outro: Armstrong]\nThere's a disturbance on the oceanside\nThey tapped into the reserve\nThe static response is so unclear, now\n\nMayday, this is not a test!\nAs the neighborhood burns, America is falling\nVigilantes warning you\nCalling Christian and Gloria!\n\nPart II: Modern World\n\n[Chorus: Billie Joe Armstrong & Mike Dirnt]\nI don't want to live in the modern world\nI don't want to live in the modern world\nI don't want to live in the modern world\nI don't want to live in the modern world\n\n[Verse 1: Dirnt]\nWell, I'm the class of '13 in the era of dissent\nA hostage of the soul on a strike to pay the rent\nThe last of the rebels without a common ground\nI'm gonna light a fire into the underground, well\n\n[Chorus: Armstrong & Dirnt]\nI don't want to live in the modern world\nI don't want to live in the modern world\nI don't want to live in the modern world\nI don't want to live in the modern world\n\n[Bridge: Armstrong]\nI am a nation without bureaucratic ties\nDeny the allegation, as it's written fucking lies\n\n[Verse 2: Dirnt]\nWell, I want to take a ride to the great divide\nBeyond the ""up to date"" and the neo-gentrified\nThe high definition for the low resident\nWhere the value of your mind is not held in contempt\n\nI can hear the sound of a beating heart\nThat bleeds beyond a system that is falling apart\nWith money to burn on a minimum wage\nWell, I don't give a shit about the modern age\n\n[Chorus: Armstrong & Dirnt]\nI don't want to live in the modern world\nI don't want to live in the modern world\nI don't want to live in the modern world\nI don't want to live in the modern world\n\n[Outro: (Armstrong) & Dirnt]\n(Mass hysteria) I don't want to live in the modern world\n(Mass hysteria) I don't want to live in the modern world\n(Mass hysteria) I don't want to live in the modern world\n(Mass hysteria) I don't want to live in the modern world\n\n(Mass hysteria) I don't want to live in the modern world\n(Mass hysteria) I don't want to live in the modern world\n(Mass hysteria) I don't want to live in the modern world\n(Mass hysteria) I don't want to live in the modern world\n\n(Mass hysteria) I don't want to live in the modern world\n(Mass hysteria) I don't want to live in the modern world","270667","American Eulogy","632","Green Day"
"Part I\n\n[Verse 1]\nBorn into Nixon, I was raised in hell\nA welfare child where the teamsters dwelled\nThe last one born and the first one to run\nMy town was blind from refinery sun\n\n[Pre-Chorus]\nMy generation is zero\nI never made it as a working class hero\n\n[Chorus]\n21st century breakdown\nI once was lost but never was found\nI think I'm losing what's left of my mind\nTo the 20th century deadline\n\n[Verse 2]\nI was made of poison and blood\nCondemnation is what I understood\nVideo games of the tower's fall\nHomeland security could kill us all\n\n[Pre-Chorus]\nMy generation is zero\nI never made it as a working class hero\n\n[Chorus]\n21st century breakdown\nI once was lost but never was found\nI think I'm losing what's left of my mind\nTo the 20th century deadline\n\n[Bridge]\n\nPart II\n\n[Intro]\nWe are the class of, the class of '13\nBorn in the year of humility\nWe are the desperate in the decline\nRaised by the bastards of 1969\n\n[Verse 1]\nMy name is no one, the long lost son\nBorn on the 4th of July\nRaised in the era of heroes and cons\nThat left me for dead or alive\nI am a nation, a worker of pride\nMy debt to the status quo\nThe scars on my hands are a means to an end\nIt's all I have to show\n\n[Verse 2]\nI swallowed my pride and I choked on my faith\nI've given my heart and my soul\nI've broken my fingers and lied through my teeth\nThe pillar of damage control\nI've been to the edge and I've thrown the bouquet\nOf flowers left over the grave\nI sat in the waiting room wasting my time\nAnd waiting for judgement day\n\n[Bridge]\nI praise liberty\n""The Freedom to Obey,""\nIt's the song that strangles me\nWell, don't cross the line\n\nPart III\n\n[Outro]\nOh, dream, America, dream\nI can't even sleep from the light's early dawn\nOh, scream, America, scream\nBelieve what you see from heroes and cons","81468","21st Century Breakdown","632","Green Day"
"[Intro - Kathleen Hanna]\nNobody likes you\nEveryone left you\nThey're all out without you\nHaving fun\n\n[Verse 1]\nWhere have all the bastards gone?\nThe underbelly stacks up ten high\nThe dummy failed the crash test\nCollecting unemployment checks\nLike a flunkie only along for the ride\n\nWhere have all the riots gone\nAs the city's motto gets pulverized?\nWhat's in love is now in debt\nOn your birth certificate\nSo strike the fucking match to light this fuse!\n\n[Pre-Chorus]\nThe town bishop's an extortionist\nAnd he don't even know that you exist\nStanding still when it's do or die\nYou better run for your fucking life\n\n[Chorus]\nIt's not over 'till you're underground\nIt's not over before it's too late\nThis city's burnin'\nIt's not my burden\nIt's not over before it's too late\n\nThere's nothing left to analyze\n\n[Bridge]\nWhere will all the martyrs go when the virus cures itself?\nAnd where will we all go when it's too late?\n\n[Ad Lib]\nAnd don't look back\n\n[Middle Eight]\nYou're not the Jesus of Suburbia\nThe St. Jimmy is a figment of\nYour father's rage and your mother's love\nMade me the idiot America\n\n[Chorus 2]\nIt's not over 'till you're underground\nIt's not over before it's too late\nThis city's burnin'\nIt's not my burden\nIt's not over before it's too late\n\n[Outro]\nShe said ""I can't take this place\nI'm leaving it behind""\nWell she said ""I can't take this town\nI'm leaving you tonight""","66871","Letterbomb","632","Green Day"
"[Intro]\nSay hey!\n\n[Verse 1]\nHear the sound of the falling rain\nComing down like an Armageddon flame (Hey!)\nThe shame, the ones who died without a name\nHear the dogs howling out of key\nTo a hymn called ""Faith and Misery"" (Hey!)\nAnd bleed, the company lost the war today\n\n[Chorus]\nI beg to dream and differ from the hollow lies\nThis is the dawning of the rest of our lives\nOn holiday\n\n[Verse 2]\nHear the drum pounding out of time\nAnother protester has crossed the line (Hey!)\nTo find the money's on the other side\nCan I get another Amen? (Amen!)\nThere's a flag wrapped around a score of men (Hey!)\nA gag, a plastic bag on a monument\n\n[Chorus]\nI beg to dream and differ from the hollow lies\nThis is the dawning of the rest of our lives\nOn holiday\n\n[Interlude]\n""The representative from California has the floor""\n\n[Bridge]\nSieg Heil to the president Gasman\nBombs away is your punishment\nPulverize the Eiffel towers\nWho criticize your government\nBang bang goes the broken glass\nAnd kill all the fags that don't agree\nTrials by fire, setting fire\nIs not a way that's meant for me\nJust ‘cause, just ‘cause\nBecause we're outlaws, yeah!\n\n[Chorus]\nI beg to dream and differ from the hollow lies\nThis is the dawning of the rest of our lives\nI beg to dream and differ from the hollow lies\nThis is the dawning of the rest of our lives\nThis is our lives on holiday","63758","Holiday","632","Green Day"
"[Intro]\nThis is definitely not the first video to surface of an execution. The blue stash of men, they claimed responsibility for the executions. Described as severely mentally disturbed. It appears to show another hostage executed by the terrorist group. Deserve to be annihilated.\n\n[Verse 1]\nI get my kicks and I wanna start a rager\nI wanna dance like I'm on the video\nI got a fever for the violent behavior\nI'm sweatin' bullets like a modern Romeo\n\n[Chorus 1]\nBang, bang, give me fame\nShoot me up to entertain\nI am a semi-automatic lonely boy\nYou're dead, I'm well fed\nGive me death or give me head\nDaddy's little psycho and mommy's little soldier\n\n[Verse 2]\nI testify like a lullaby of memories\nBroadcasting live and it's on my radio\nI got my photobomb, I got my Vietnam\nI love a lie just like anybody else\n\n[Chorus 2]\nBang, bang, give me fame\nShoot me up to entertain\nI am a semi-automatic lonely boy\nYou're dead, I'm well fed\nGive me death or give me head\nBroadcasting from my room and playin' with my toys\nI wanna be a celebrity martyr\nThe leading man in my own private drama\nHoorah, bang, bang, hoorah, bang, bang, the hero of the hour\nDaddy's little psycho and mommy's little soldier\n\n[Bridge]\nI wanna be like the soldiers on the screen\nIt's my private movie (Holy War)\nOh baby, baby, this is Viva Vendetta\nOh this is love or it's World War Zero\n\n[Chorus 2 - Revised]\nI wanna be a celebrity martyr\nThe leading man in my own private drama\nHoorah, bang, bang, hoorah, bang, bang, the hero of the hour\nDaddy's little psycho and mommy's little soldier\nI wanna be a celebrity martyr\nThe leading man in my own private drama\nHoorah, bang, bang, hoorah, bang, bang, the hero of the hour\nDaddy's little psycho and mommy's little soldier","2830424","Bang Bang","632","Green Day"
"[Intro]\nReberu rajio!\n¡La última noche!\nAnd we will see how Godless a nation we have become\nEm tset t'nod\n\n[Verse 1]\nRaise your hands now to testify\nYour confession will be crucified\nYou're a sacrificial suicide\nLike a dog that's been sodomized, well\n\n(Stand up!) All the white boys\n(Sit down!) And the black girls\n(Stand up!) You're the soldiers\n(Sit down!) Of the new world\n\n[Pre-Chorus]\nPut your faith in a miracle\nAnd it's non-denominational\nJoin the choir, we'll be singing\nIn the church of wishful thinking\n\n[Chorus]\nA fire burns, today\nOf blasphemy and genocide\nThe sirens of decay\nWill infiltrate the faith fanatics\n\n[Verse 2]\nOh, bless me, Lord, for I have sinned\nIt's been a lifetime since I last confessed\nI threw my crutches in ""the river of a shadow of doubt""\nAnd I'll be dressed up in my Sunday best\n\n[Pre-Chorus]\nSay a prayer for the family\nDrop a coin for humanity\nAin't this uniform so flattering?\nI never asked you a goddamn thing!\n\n[Chorus]\nA fire burns, today\nOf blasphemy and genocide\nThe sirens of decay\nWill infiltrate the faith fanatics\n\n[Bridge]\nDon't test me\nSecond-guess me\nProtest me\nYou will disappear\n\n[Verse 3]\nI want to know who's allowed to breed\nAll the dogs who never learned to read\nMissionary politicians\nAnd the cops of the new religion\n\n[Outro]\nA fire burns, today\nOf blasphemy and genocide\nThe sirens of decay\nWill infiltrate the inside\n\nYeah!","246646","East Jesus Nowhere","632","Green Day"
"[Verse 1]\nShe puts her makeup on\nLike graffiti on the walls of the heartland\nShe's got her little book of conspiracies\nRight in her hand\nShe is paranoid\nEndangered species headed into extinction\nShe is one of a kind\nWell, she's the last of the American girls\n\n[Verse 2]\nShe wears her overcoat\nFor the coming of the nuclear winter\nShe is riding her bike\nLike a fugitive of Critical Mass\nShe's on a hunger strike\nFor the ones who won't make it for dinner\nShe makes enough to survive\nFor a holiday of working class\nShe's a runaway of the establishment incorporated\nShe won't cooperate\nWell, she's the last of the American girls\n\n[Verse 3]\nShe plays her vinyl records\nSinging songs on the eve of destruction\nShe's a sucker for\nAll the criminals breaking the laws\nShe will come in first\nFor the end of western civilization\nShe's an endless war\nShe's a hero for the lost cause\nLike a hurricane in the heart of the devastation\nShe's a natural disaster\nShe's the last of the American girls\n\n[Verse 4]\nShe puts her makeup on\nLike graffiti on the walls of the heartland\nShe's got her little book of conspiracies\nRight in her hand\nShe will come in first\nFor the end of western civilization\nShe's a natural disaster\nShe's the last of the American girls\n\n[Outro]\nOh, yeah\nAlright\nOh, yeah","270468","Last of the American Girls","632","Green Day"
"[Intro]\n1, 2, 3, 4!\n\n[Verse 1]\nWell, I've got a fever\nA non-believer\nI'm in a state of grace\nFor I am the Caesar\nI'm gonna seize the day\nWell, call of the banshee, hey hey\nHey hey hey hey hey\nAs God as my witness, the infidels are gonna pay\n\nWell, call the assassin\nThe orgasm\nA spasm of love and hate\nFor what will divide us?\nThe righteous and the meek\nWell, call of the wild, hey hey\nHey hey hey hey hey\nWell, death to the girl at the end of the serenade\n\n[Chorus]\nVendetta, sweet vendetta\nThis Beretta of the night\nThis fire and the desire\nWell, shots ringing out on the holy parasite\n\n[Verse 2]\nWell, I am a killjoy from Detroit\nI drink from a well of rage\nI feed off the weakness with all my love\nWell, call up the captain, hey hey\nHey hey hey hey hey\nWell, death to the lover that you were dreaming of\n\nWell, this is a stand-off\nA Molotov cocktails on the house\nYou thought I was a write-off\nYou better think again\nWell, call the peacemaker, hey hey\nHey hey hey hey hey\nI'm gonna send you back to the place where it all began\n\n[Chorus]\nVendetta, sweet vendetta\nThis Beretta of the night\nThis fire and the desire\nWell, shots ringing out on the holy parasite\n\n[Verse 3]\nWell, now the caretaker's the undertaker\nSo I'm gonna go out and get a peacemaker\nThis is a Neo Saint Valentine's massacre\nWell, call up the Gaza, hey hey\nHey hey hey hey hey\nWell, death to the ones at the end of the serenade\nWell, death to the ones at the end of the serenade\nWell, death to the ones at the end of the serenade\nWell, death to the ones at the end of the serenade","246645","Peacemaker","632","Green Day"
