"line","song_id","song_name","artist_id","artist_name"
"[Refrain]\nThey know what is what\nBut they don't know what is what\nThey just strut\nWhat the fuck?\n\n[Verse 1: Katy Perry]\nA tiger\nDon't lose no sleep\nDon't need opinions\nFrom a shellfish or a sheep\nDon't you come for me\nNo, not today\nYou're calculated\nI got your number\n'Cause you're a joker\nAnd I'm a courtside killer queen\nAnd you will kiss the ring\nYou best believe\n\n[Pre-Chorus: Katy Perry]\nSo keep calm, honey, I'ma stick around\nFor more than a minute, get used to it\nFunny my name keeps comin' outcho mouth\n'Cause I stay winning\nLay 'em up like\n\n[Chorus: Katy Perry]\nSwish, swish, bish\nAnother one in the basket\nCan't touch this\nAnother one in the casket\n\n[Verse 2: Katy Perry]\nYour game is tired\nYou should retire\nYou're 'bout cute as\nAn old coupon expired\nAnd karma's not a liar\nShe keeps receipts\n\n[Pre-Chorus: Katy Perry]\nSo keep calm, honey, I'ma stick around\nFor more than a minute, get used to it\nFunny my name keeps comin' outcho mouth\n'Cause I stay winning\nLay 'em up like\n\n[Chorus: Katy Perry]\nSwish, swish, bish\nAnother one in the basket\nCan't touch this\nAnother one in the casket\nSwish, swish, bish\nAnother one in the basket\nCan't touch this\nAnother one in the casket\n\n[Refrain]\nThey know what is what\nBut they don't know what is what\nKaty Perry\nThey just know what is what\nYoung Money\nBut they don't know what is what\nThey just know what is what\nBut they don't know what is what\nThey just strut\nHahaha, yo\nWhat the fuck?\n\n[Verse 3: Nicki Minaj]\nPink Ferragamo sliders on deck\nSilly rap beefs just get me more checks\nMy life is a movie, I'm never off set\nMe and my amigos (no, not Offset)\nSwish swish, aww I got them upset\nBut my shooters'll make 'em dance like dubstep\nSwish, swish, aww, my haters is obsessed\n'Cause I make M's, they get much less\nDon't be tryna double back\nI already despise you\nAll that fake love you showin'\nCouldn't even disguise you\nRan? When? Nicki gettin' tan\nMirror mirror who's the fairest bitch in all the land?\nDamn, man, this bitch is a Stan\nMuah, muah, the generous queen will kiss a fan\nAss goodbye, I'ma be riding by\nI'ma tell my ----- Biggz, yeah that's tha guy\nA star's a star, da ha da ha\nThey never thought the swish god would take it this far\nGet my pimp cup, this is pimp shit, baby\nI only rock with Queens, so I'm makin' hits with Katy\n\n[Chorus: Katy Perry]\nSwish, swish, bish\nAnother one in the basket\nCan't touch this\nAnother one in the casket\n\n[Refrain]\nThey know what is what\nDo they know?\nBut they don't know what is what\nThey just know what is what\nBut they don't know what is what\nThey just know what is what\nBut they don't know what is what\nThey just strut\nWhat the...","3080768","Swish Swish (Ft. Nicki Minaj)","1195","Katy Perry"
"[Produced by Max Martin and Dr. Luke]\n[Video directed by Matthew Cullen]\n\n[Intro: Juicy J]\nYeah, ya'll know what it is\nKaty Perry, Juicy J\nUh huh, let's rage!\n\n[Verse 1: Katy Perry]\nI knew you were, you were gonna come to me\nAnd here you are, but you better choose carefully\n'Cause I, I'm capable of anything\nOf anything, and everything\nMake me your Aphrodite\nMake me your one and only\nBut don't make me your enemy (enemy)\nYour enemy (your enemy), your enemy\n\n[Chorus: Katy Perry]\nSo you wanna play with magic?\nBoy, you should know what you're fallin' for\nBaby, do you dare to do this?\n'Cause I'm coming at you like a dark horse\nAre you ready for, ready for\nA perfect storm, perfect storm?\n'Cause once you're mine, once you're mine\nThere's no going back\n\n[Verse 2: Katy Perry]\nMark my words, this love will make you levitate\nLike a bird, like a bird without a cage\nWe're down to earth if you choose to walk away\nDon't walk away (walk away)\nIt's in the palm of your hand now, baby\nIt's a yes or a no, no maybe\nSo just be sure before you give it all to me\nAll to me, give it all to me\n\n[Chorus: Katy Perry]\nSo you wanna play with magic?\nBoy, you should know what you're fallin' for\nBaby, do you dare to do this?\nCause I'm coming at you like a dark horse\nAre you ready for, ready for\nA perfect storm, perfect storm?\n'Cause once you're mine, once you're mine\nThere's no going back\n\n[Verse 3: Juicy J]\nShe's a beast, I call her Karma (come back)\nShe eat your heart out like Jeffrey Dahmer (Woo!)\nBe careful, try not to lead her on\nShawty's heart is on steroids, 'cause her love is so strong\nYou may fall in love when you meet her (meet her)\nIf you get the chance, you better keep her (keep her)\nShe's sweet as pie, but if you break her heart\nShe turn cold as a freezer (freezer)\nThat fairy tale ending with a knight in shining armor\nShe can be my sleeping beauty, I'm gon' put her in a coma (Woo!)\nDamn, I think I love her, shawty's so bad, I'm sprung and I don't care\nShe ride me like a roller coaster, turn the bedroom into a fair (a fair)\nHer love is like a drug, I was tryna hit it and quit it\nBut lil mama so dope, I messed around and got addicted\n\n[Chorus: Katy Perry]\nSo you wanna play with magic?\nBoy, you should know what you're fallin' for (you should know)\nBaby, do you dare to do this?\n'Cause I'm coming at you like a dark horse (like a dark horse)\nAre you ready for, ready for (ready for)\nA perfect storm, perfect storm? (a perfect storm)\n'Cause once you're mine, once you're mine\nThere's no going back","219361","Dark Horse (Ft. Juicy J)","1195","Katy Perry"
"[Verse 1: Kanye West]\nI got a dirty mind, I got filthy ways\nI’m tryna bathe my ape in your Milky Way\nI’m a legend, I'm irreverent, I be reverend\nI’ll be so faaaaa-ar up\nWe don't give a fuh-uh-uck\nWelcome to the danger zone\nStep into the fantasy\nYou are not invited to the other side of sanity\nThey callin' me an alien, a big headed astronaut\nMaybe it's because ya boy Yeezy get ass a lot\n\n[Verse 2: Katy Perry]\nYou’re so hypnotizing\nCould you be the devil?\nCould you be an angel?\nYour touch, magnetizing\nFeels like I am floating\nLeaves my body glowing\nThey say be afraid\nYou’re not like the others\nFuturistic lover\nDifferent DNA\nThey don’t understand you\n\n[Pre-Chorus: Katy Perry]\nYou're from a whole 'nother world\nA different dimension\nYou open my eyes\nAnd I’m ready to go, lead me into the light\n\n[Chorus: Katy Perry]\nKiss me, ki-ki-kiss me\nInfect me with your lovin'\nFill me with your poison\nTake me, ta-ta-take me\nWanna be a victim\nReady for abduction\nBoy, you’re an alien\nYour touch, so foreign\nIt’s supernatural\nExtraterrestrial\n\n[Verse 3: Katy Perry]\nYou're so supersonic\nWanna feel your powers\nStun me with your lasers\nYour kiss is cosmic\nEvery move is magic\n\n[Pre-Chorus: Katy Perry]\nYou're from a whole 'nother world\nA different dimension\nYou open my eyes\nAnd I’m ready to go, lead me into the light\n\n[Chorus: Katy Perry]\nKiss me, ki-ki-kiss me\nInfect me with your lovin'\nFill me with your poison\nTake me, ta-ta-take me\nWanna be a victim\nReady for abduction\nBoy, you’re an alien\nYour touch, so foreign\nIt’s supernatural\nExtraterrestrial\n\n[Verse 4: Kanye West]\nI know a bar out in Mars\nWhere they driving spaceships instead of cars\nCop a Prada space suit about the stars\nGetting stupid high straight up out the jars\nPockets on Shrek, rockets on deck\nTell me what's next? Alien sex\nI'mma disrobe you\nThen I'mma probe you\nSee I abducted you\nSo I tell you what to do\nI tell you what to do, what to do\n\n[Chorus: Katy Perry]\nKiss me, ki-ki-kiss me\nInfect me with your lovin'\nFill me with your poison\nTake me, ta-ta-take me\nWanna be a victim\nReady for abduction\nBoy, you’re an alien\nYour touch, so foreign\nIt’s supernatural\nExtraterrestrial\nExtraterrestrial\nExtraterrestrial\n\n[Outro: Katy Perry]\nBoy, you’re an alien\nYour touch are foreign\nIt’s supernatural\nExtraterrestrial","4545","E.T. (Remix) (Ft. Kanye West)","1195","Katy Perry"
"Candyfornia\n1. ""Teenage Dream""\n2. ""Hummingbird Heartbeat""\n3. ""Waking Up In Vegas""","2304875","California Dreams Tour Setlist","1195","Katy Perry"
"[Verse 1: Katy Perry]\nAre we crazy?\nLiving our lives through a lens\nTrapped in our white picket fence\nLike ornaments\nSo comfortable, we're living in a bubble, bubble\nSo comfortable, we cannot see the trouble, trouble\nAren't you lonely\nUp there in utopia\nWhere nothing will ever be enough?\nHappily numb\nSo comfortable, we're living in a bubble, bubble\nSo comfortable, we cannot see the trouble, trouble\n\n[Pre-Chorus: Katy Perry]\nSo put your rose-colored glasses on\nAnd party on\n\n[Chorus: Katy Perry]\nTurn it up, it's your favorite song\nDance, dance, dance to the distortion\nCome on, turn it up, keep it on repeat\nStumbling around like a wasted zombie\nYeah, we think we're free\nDrink, this one is on me\nWe're all chained to the rhythm\nTo the rhythm\nTo the rhythm\nTurn it up, it's your favorite song\nDance, dance, dance to the distortion\nCome on, turn it up, keep it on repeat\nStumbling around like a wasted zombie\nYeah, we think we're free\nDrink, this one is on me\nWe're all chained to the rhythm\nTo the rhythm\nTo the rhythm\n\n[Verse 2: Katy Perry]\nAre we tone deaf?\nKeep sweeping it under the mat\nThought we could do better than that\nI hope we can\nSo comfortable, we're living in a bubble, bubble\nSo comfortable, we cannot see the trouble, trouble\n\n[Pre-Chorus: Katy Perry]\nSo put your rose-colored glasses on\nAnd party on\n\n[Chorus: Katy Perry]\nTurn it up, it's your favorite song\nDance, dance, dance to the distortion\nCome on, turn it up, keep it on repeat\nStumbling around like a wasted zombie\nYeah, we think we're free\nDrink, this one is on me\nWe're all chained to the rhythm\nTo the rhythm\nTo the rhythm\nTurn it up, it's your favorite song\nDance, dance, dance to the distortion\nCome on, turn it up, keep it on repeat\nStumbling around like a wasted zombie\nYeah, we think we're free\nDrink, this one is on me\nWe're all chained to the rhythm\nTo the rhythm\nTo the rhythm\n\n[Bridge: Skip Marley]\nIt is my desire\nBreak down the walls to connect, inspire\nAy, up in your high place, liars\nTime is ticking for the empire\nThe truth they feed is feeble\nAs so many times before\nThey greed over the people\nThey stumbling and fumbling\nAnd we're about to riot\nThey woke up, they woke up the lions\n(Woo!)\n\n[Chorus: Katy Perry]\nTurn it up, it's your favorite song\nDance, dance, dance to the distortion\nCome on, turn it up, keep it on repeat\nStumbling around like a wasted zombie\nYeah, we think we're free\nDrink, this one is on me\nWe're all chained to the rhythm\nTo the rhythm\nTo the rhythm\n\n[Outro: Katy Perry]\nTurn it up\nTurn it up\nIt goes on, and on, and on\nIt goes on, and on, and on\nIt goes on, and on, and on\n'Cause we're all chained to the rhythm","2977709","Chained to the Rhythm (Ft. Skip Marley)","1195","Katy Perry"
"[Verse 1]\nComparisons are easily done\nOnce you've had a taste of perfection\nLike an apple hanging from a tree\nI picked the ripest one\nI still got the seed\n\n[Pre-Chorus 1]\nYou said move on, where do I go?\nI guess second best is all I will know\n\n[Chorus]\n'Cause when I'm with him, I am thinking of you\nThinking of you\nWhat you would do if\nYou were the one who was spending the night\nOh, I wish that I was looking into your eyes\n\n[Verse 2]\nYou're like an Indian summer in the middle of winter\nLike a hard candy with a surprise center\nHow do I get better once I've had the best?\nYou said there's tons of fish in the water\nSo the waters I will test\n\n[Pre-Chorus 2]\nHe kissed my lips, I taste your mouth, oh\nHe pulled me in, I was disgusted with myself\n\n[Chorus]\n'Cause when I'm with him, I am thinking of you\nThinking of you\nWhat you would do if\nYou were the one who was spending the night\nOh, I wish that I was looking into your eyes\n\n[Bridge]\nYou're the best\nAnd yes, I do regret\nHow I could let myself let you go\nNow the lesson's learned\nI touched it, I was burned\nOh, I think you should know\n\n[Chorus]\n'Cause when I'm with him, I am thinking of you\nThinking of you\nWhat you would do if\nYou were the one who was spending the night\nOh, I wish that I was looking into your eyes\nLooking into your eyes\nLooking into your eyes\nOh, won't you walk through\nAnd bust in the door and take me away\nOh, no more mistakes\n'Cause in your eyes, I'd like to stay","195939","Thinking of You","1195","Katy Perry"
"[Verse 1]\nFlowers in her hair, she don't care\nPeach-pink lips, yeah, everybody stares\n(Ooh) You think you've seen her in a magazine\n(Ooh) It's like she walked right out of your dreams\nBlack Ray Bans, you know she's with the band\nPassport stamps, she's cosmopolitan\n(Ooh) Yeah, she runs the place like Penny Lane\n(Ooh) Yeah, you're lucky if you're on her plane\nFrom Tokyo, to Mexico, to Rio!\n\n[Chorus]\nThat girl’s a trip\nA one-way ticket\nTakes you miles high, so high\n'Cause she’s got that one international smile\nCatch her if you can\nYeah, she's so in demand\nTakes you miles high, so high\n'Cause she’s got that one international smile\n\n[Verse 2]\nShe’s got that je ne sais quoi, you know it\nSo très chic, yeah, she's a classic\n(Ooh) Yeah, she’s footloose and so fancy free\n(Ooh) Yeah, she dances to a her own beat\n'Cause she's the muse and the artist\nAlways leaves a trail of stardust\n(Ooh) 'Cause she’s a little bit of Yoko\n(Ooh) And she’s a little bit of, “Oh no”\nFrom LA, Miami, to New York City!\n\n[Chorus]\nThat girl’s a trip\nA one-way ticket\nTakes you miles high, so high\n'Cause she’s got that one international smile\nCatch her if you can\nYeah, she's so in demand\nTakes you miles high, so high\n'Cause she’s got that one international smile\n\n[Spoken Interlude]\nPlease fasten your seatbelts\nAnd make sure your champagne glasses are empty\nWe are now approaching the runway\nSo get ready for take-off\n\n[Chorus]\nThat girl’s a trip\nA one-way ticket\nTakes you miles high, so high\n'Cause she’s got that one international smile\nCatch her if you can\nYeah, she's so in demand\nTakes you miles high, so high\n'Cause she’s got that one international smile","239164","International Smile","1195","Katy Perry"
"[Prod. by Dr. Luke, Max Martin, Cirkut]\n[Written by Katy Perry, Dr. Luke, Max Martin, Bonnie McKee, Henry Walter]\n\n[Verse 1]\nI heard you're feeling nothing's going right\nWhy don't you let me stop by?\nThe clock is ticking, running out of time\nSo we should party all night\n\n[Pre-Chorus 1]\nSo cover your eyes, I have a surprise\nI hope you got a healthy appetite\nIf you wanna dance, if you want it all\nYou know that I'm the girl that you should call\n\n[Chorus]\nBoy, when you're with me, I'll give you a taste\nMake it like your birthday every day\nI know you like it sweet, so you can have your cake\nGive you something good to celebrate\n\n[Post-Chorus]\nSo make a wish\nI'll make it like your birthday every day\nI'll be your gift\nGive you something good to celebrate\n\n[Verse 2]\nPop your confetti, pop your Pérignon\nSo hot and heavy 'til dawn\nI got you spinning like a disco ball\nAll night they're playing your song\n\n[Pre-Chorus 2]\nWe're living the life, we're doing it right\nYou're never gonna be unsatisfied\nIf you wanna dance, if you want it all\nYou know that I'm the girl that you should call\n\n[Chorus]\nBoy, when you're with me, I'll give you a taste\nMake it like your birthday every day\nI know you like it sweet, so you can have your cake\nGive you something good to celebrate\n\n[Post-Chorus]\nSo make a wish\nI'll make it like your birthday every day\nI'll be your gift\nGive you something good to celebrate\n\n[Bridge]\nHappy birthday...\nSo let me get you in your birthday suit\nIt's time to bring out the big balloons\nSo let me get you in your birthday suit\nIt's time to bring out the big, big, big, big, big, big balloons\n\n[Chorus]\nBoy, when you're with me, I'll give you a taste\nMake it like your birthday every day\nI know you like it sweet, so you can have your cake\nGive you something good to celebrate\nBoy, when you're with me, I'll give you a taste\nMake it like your birthday every day\nI know you like it sweet, so you can have your cake\nGive you something good to celebrate\n\n[Post-Chorus]\nSo make a wish\nI'll make it like your birthday every day\nI'll be your gift\nGive you something good to celebrate\n\n[Outro]\nHappy birthday...","239152","Birthday","1195","Katy Perry"
"[Produced by Max Martin and Klas Åhlund]\n\n[Intro]\nThis is how we do\nThis is how we do\n\n[Verse 1]\nSipping on Rosé\nSilver Lake sun coming up all lazy (this is how we do)\nSlow cooking pancakes for my boy\nStill up, still fresh as a daisy\nPlaying ping pong all night long\nEverything's all neon and hazy (this is how we do)\nChanel this, Chanel that\nHell yeah, all my girls vintage Chanel, baby\n\n[Pre-Chorus]\nIt's no big deal\nIt's no big deal\nIt's no big deal\nThis is no big deal\n\n[Chorus]\nThis is how we do, yeah\nChilling, laid-back, straight stunting\nYeah, we do it like that\nThis is how we do, do-do-do-do\nThis is how we do\nThis is how we do, yeah\nChilling, laid-back, straight stunting\nYeah, we do it like that\nThis is how we do, do-do-do-do\nThis is how we do\n\n[Verse 2]\nBig hoops, and maroon lips\nMy clique hopping in my Maserati (this is how we...)\nSanta Barbara-chic at La Super Rica\nGrabbing tacos, checking out hotties\nNow we talkin’ astrology\nGetting our nails did all Japanese-y (this is how we do)\nDay drinking at the Wildcat\nSucking real bad at Mariah Carey-oke\n\n[Pre-Chorus]\nIt's no big deal\nIt's no big deal, uh-uh\nIt's no big deal\nThis is no big deal\n\n[Chorus]\nThis is how we do, yeah\nChilling, laid-back, straight stunting\nYeah, we do it like that\nThis is how we do, do-do-do-do\nThis is how we do\nThis is how we do, yeah\nChilling, laid-back, straight stunting\nYeah, we do it like that\nThis is how we do, do-do-do-do\nThis is how we do\n\n[Spoken Bridge]\nThis one goes out to ladies\nAt breakfast in last night's dress\n(It’s how we do, straight stunting like that)\nUh-huh, I see you\nYo, this goes out to all you kids\nThat still have their cars at the club valet\nAnd it's Tuesday\n(It’s how we do, straight stunting like that)\nYo, shoutout to all you kids\nBuying bottle service with your rent money!\nRespect!\n\n[Chorus]\nThis is how we do, yeah\nChilling, laid-back, straight stunting\nYeah, we do it like that\nThis is how we do, do-do-do-do\nThis is how we do\nThis is how we do, yeah\nChilling, laid-back, straight stunting\nYeah, we do it like that\nThis is how we do, do-do-do-do\nThis is how we do\n\n[Outro]\n(This is how we do)\nThis goes out to all you people\nGoing to bed with a 10, and waking up with a 2\n(This is how we do)\nHa, not me!\n\n[Chorus until fade]\nThis is how we do, yeah\nChilling, laid-back, straight stunting\nYeah, we do it like that\nThis is how we do, do-do-do-do\n\nWhat? Wait\nNo no no no, bring the beat back\nThat's right","239162","This Is How We Do","1195","Katy Perry"
"[Intro]\nOh, no\nYeah\nYa'll know what it is\nKaty Perry\nJuicy J\nMr. Worldwide\nAha\nLet's rage\n\n[Verse 1: Katy Perry]\nI knew you were, you were gonna come to me\nAnd here you are, but you better choose carefully\n'Cause I, I'm capable of anything\nOf anything, and everything\nMake me your Aphrodite\nMake me your one and only\nBut don't make me your enemy (enemy)\nYour enemy (your enemy), your enemy\n\n[Chorus: Katy Perry]\nSo you wanna play with magic?\nBoy, you should know what you're fallin' for\nBaby, do you dare to do this?\nCause I'm coming at you like a dark horse\nAre you ready for, ready for\nA perfect storm, perfect storm?\n'Cause once you're mine, once you're mine\nThere's no going back\n\n[Verse 2: Katy Perry]\nMark my words, this love will make you levitate\nLike a bird, like a bird without a cage\nWe're down to earth if you choose to walk away\nDon't walk away (walk away)\nIt's in the palm of your hand now, baby\nIt's a yes or a no, no maybe\nSo just be sure before you give it all to me\nAll to me, give it all to me\n\n[Chorus: Katy Perry]\nSo you wanna play with magic?\nBoy, you should know what you're fallin' for\nBaby, do you dare to do this?\nCause I'm coming at you like a dark horse\nAre you ready for, ready for\nA perfect storm, perfect storm?\n'Cause once you're mine, once you're mine\nThere's no going back\n\n[Verse 3: Pitbull]\nI'm an outcast, I got that\nSouthernplayalisticadillacmuzik\nAnd that's just a start\nMy life I took it from the back to the front\nRosa parks\nWho cares what they blink or they bought\nWho cares what they think or they thought\nBaby we can do it in the car\nIn the kitchen, on the floor\nIn the middle of the park\nI'm here to play with that little bitty thing\nI pump blood through your veins, your heart\nAnd all these little players, acting like they can hate\nBut they can not\nCan't, won't, don't, never will, be real\nOne, two, three, four times, Cypress hill\nHey Ms. Perry\nLooking sexy with your fine self\nWant a little bit of magic, I'm maverick, top gun\nIf you look and look no further you got one\nI got 'em confused\nIs he Hispanic or is he Caucasian?\nDon't worry about where I'm from\nJust know one thing, I'm amazing\n\n[Chorus: Katy Perry]\nSo you wanna play with magic?\nBoy, you should know what you're fallin' for (you should know)\nBaby, do you dare to do this?\n'Cause I'm coming at you like a dark horse (like a dark horse)\nAre you ready for, ready for (ready for)\nA perfect storm, perfect storm? (a perfect storm)\n'Cause once you're mine, once you're mine\nThere's no going back","356021","Dark Horse (Pitbull Remix) (Ft. Pitbull)","1195","Katy Perry"
