"line","song_id","song_name","artist_id","artist_name"
"Foreword","2455126","Red [Liner Notes]","1177","Taylor Swift"
"[Verse 1]\nNice to meet you, where you been?\nI could show you incredible things\nMagic, madness, heaven, sin\nSaw you there, and I thought\n""Oh my God, look at that face\nYou look like my next mistake\nLove's a game, wanna play?""\nAyy\n\n[Verse 2]\nNew money, suit and tie\nI can read you like a magazine\nAin't it funny? Rumors fly\nAnd I know you heard about me\nSo hey, let's be friends\nI'm dyin' to see how this one ends\nGrab your passport and my hand\nI can make the bad guys good for a weekend\n\n[Chorus]\nSo it's gonna be forever\nOr it's gonna go down in flames\nYou can tell me when it's over, mm\nIf the high was worth the pain\nGot a long list of ex-lovers\nThey'll tell you I'm insane\n'Cause you know I love the players\nAnd you love the game\n'Cause we're young and we're reckless\nWe'll take this way too far\nIt'll leave you breathless, hmm\nOr with a nasty scar\nGot a long list of ex-lovers\nThey'll tell you I'm insane\nBut I've got a blank space, baby\nAnd I'll write your name\n\n[Verse 3]\nCherry lips, crystal skies\nI could show you incredible things\nStolen kisses, pretty lies\nYou're the King, baby, I'm your Queen\nFind out what you want\nBe that girl for a month\nWait, the worst is yet to come\nOh, no\n\n[Verse 4]\nScreaming, crying, perfect storms\nI can make all the tables turn\nRose garden filled with thorns\nKeep you second guessin' like\n""Oh my God, who is she?""\nI get drunk on jealousy\nBut you'll come back each time you leave\n'Cause, darling, I'm a nightmare dressed like a daydream\n\n[Chorus]\nSo it's gonna be forever\nOr it's gonna go down in flames\nYou can tell me when it's over, mm\nIf the high was worth the pain\nGot a long list of ex-lovers\nThey'll tell you I'm insane\n'Cause you know I love the players\nAnd you love the game\n'Cause we're young and we're reckless\nWe'll take this way too far\nIt'll leave you breathless, hmm\nOr with a nasty scar\nGot a long list of ex-lovers\nThey'll tell you I'm insane\nBut I've got a blank space, baby\nAnd I'll write your name\n\n[Bridge]\nBoys only want love if it's torture\nDon't say I didn't, say I didn't warn ya\nBoys only want love if it's torture\nDon't say I didn't, say I didn't warn ya\n\n[Chorus]\nSo it's gonna be forever\nOr it's gonna go down in flames\nYou can tell me when it's over, mm\nIf the high was worth the pain\nGot a long list of ex-lovers\nThey'll tell you I'm insane\n'Cause you know I love the players\nAnd you love the game\n'Cause we're young and we're reckless\nWe'll take this way too far\nIt'll leave you breathless, hmm\nOr with a nasty scar\nGot a long list of ex-lovers\nThey'll tell you I'm insane\nBut I've got a blank space, baby\nAnd I'll write your name","542389","Blank Space","1177","Taylor Swift"
"Prologue","2456617","Speak Now [Liner Notes]","1177","Taylor Swift"
"[Chorus: Taylor Swift & Future]\nI wanna be your end game\nI wanna be your first string\nI wanna be your A-Team (Whoa, whoa, whoa)\nI wanna be your end game, end game\n\n[Post-Chorus: Taylor Swift & Future]\nBig reputation, big reputation\nOoh, you and me, we got big reputations, ah\nAnd you heard about me, ooh\nI got some big enemies (Yeah)\nBig reputation, big reputation\nOoh, you and me would be a big conversation, ah (Git, git)\nAnd I heard about you, ooh (Yeah)\nYou like the bad ones, too\n\n[Verse 1: Future]\nYou so dope, don't overdose\nI’m so stoked, I need a toast\nWe do the most, I'm in the Ghost like I'm whippin’ a boat\nI got a reputation, girl that don't precede me (Yeah)\nI'm one call away whenever you need me (Yeah)\nI'm in a G5 (Yeah), come to the A-Side (Yeah)\nI got a bad boy persona, that's what they like (what they like)\nYou love it, I love it too 'cause you my type (You my type)\nYou hold me down, and I protect you with my life\n\n[Pre-Chorus: Taylor Swift & Future]\nI don't wanna touch you, I don't wanna be\nJust another ex-love you don’t wanna see\nI don’t wanna miss you (I don't wanna miss you)\nLike the other girls do\nI don’t wanna hurt you, I just wanna be\nDrinking on a beach with you all over me\nI know what they all say (I know what they all say)\nBut I ain't tryna play\n\n[Chorus: Taylor Swift]\nI wanna be your end game (End game)\nI wanna be your first string (First string)\nI wanna be your A-Team (A-Team)\nI wanna be your end game, end game\n\n[Verse 2: Ed Sheeran]\nKnew her when I was young, reconnected when we were little bit older\nBoth sprung, I got issues and chips on both of my shoulders\nReputation precedes me, in rumors, I'm knee-deep\nThe truth is, it's easier to ignore it, believe me\nEven when we’d argue, we'd not do it for long\nAnd you understand the good and bad end up in the song\nFor all your beautiful traits, and the way you do it with ease\nFor all my flaws, paranoia, and insecurities\nI've made mistakes and made some choices, that's hard to deny\nAfter the storm, something was born on the 4th of July\nI've passed days without fun, this end game is the one\nWith four words on the tip of my tongue, I'll never say it\n\n[Pre-Chorus: Taylor Swift]\nI don't wanna touch you, I don't wanna be\nJust another ex-love you don't wanna see\nI don't wanna miss you (I don't wanna miss you)\nLike the other girls do\nI don't wanna hurt you, I just wanna be\nDrinking on a beach with you all over me\nI know what they all say, yeah\nBut I ain't tryna play\n\n[Chorus: Taylor Swift]\nI wanna be your end game (End game)\nI wanna be your first string (Wanna be your first string)\nI wanna be your A-Team (A-Team)\nI wanna be your end game, end game\n\n[Post-Chorus: Taylor Swift & Future]\nBig reputation, big reputation\nOoh, you and me, we got big reputations, ah\nAnd you heard about me, ooh\nI got some big enemies\nHey, big reputation, big reputation\nOoh, you and me would be a big conversation, ah\nAnd I heard about you, ooh\nYou like the bad ones, too\n\n[Verse 3: Taylor Swift]\nI hit you like bang, we tried to forget it, but we just couldn't\nAnd I bury hatchets, but I keep maps of where I put 'em\nReputation precedes me, they told you I'm crazy\nI swear I don't love the drama, it loves me\nAnd I can't let you go, your hand prints on my soul\nIt's like your eyes are liquor, it's like your body is gold\nYou've been calling my bluff on all my usual tricks\nSo here's the truth from my red lips\n\n[Chorus: Taylor Swift, Future, & Ed Sheeran]\nI wanna be your end game (End game)\nI wanna be your first string (Me and you, first string)\nI wanna be your A-Team (Be your A-Team now, A-Team)\nI wanna be your end game, end game\nI wanna be your end game (Oh, I do)\nI wanna be your first string (First string)\nI wanna be your A-Team (A-Team)\nI wanna be your end game, end game","3281773","End Game (Ft. Ed Sheeran & Future)","1177","Taylor Swift"
"2007\n""Tim McGraw""\n\n2008\n""Our Song""\n""Teardrops On My Guitar""\n""Picture To Burn""\n""Change""\n""Should've Said No""\n""Fearless""\n""You're Not Sorry""\n""Hey Stephen""\n""Breathe""\n""The Way I Loved You""\n""White Horse""\n\n2009\n""Love Story""\n""Crazier""\n""You Belong With Me""\n""Come In With The Rain""\n""Superstar""\n""Forever & Always""\n""The Other Side Of The Door""\n""Untouchable""\n""Jump Then Fall""\n""Fifteen""\n""Today Was A Fairytale""\n\n2010\n""Two Is Better Than One"" (Boys Like Girls ft. Taylor Swift)\n""Breathless""\n""Mine""\n""Half Of My Heart"" (John Mayer ft. Taylor Swift)\n""Speak Now""\n""Back to December""\n""Mean""\n""Long Live""\n""Never Grow Up""\n""Enchanted""\n""Last Kiss""\n""Better Than Revenge""\n""Dear John""\n""Innocent""\n""The Story Of Us""\n""Haunted""\n""Sparks Fly""\n\n2011\n""Superman""\n""If This Was A Movie""\n""Ours""\n\n2012\n""Safe & Sound"" (Taylor Swift ft. The Civil Wars)\n""Eyes Open""\n""We Are Never Ever Getting Back Together""\n""Ronan""\n""Begin Again""\n""State Of Grace""\n""Stay Stay Stay""\n""All Too Well""\n""I Almost Do""\n\n2013\n""I Knew You Were Trouble.""\n""The Moment I Knew""\n""22""\n""Both Of Us"" (B.o.B ft. Taylor Swift)\n""Highway Don't Care"" (Tim McGraw ft. Taylor Swift)\n""Everything Has Changed""\n""Sweeter Than Fiction""\n""Red""\n\n2014\n""Shake It Off""\n""Out Of The Woods""\n""Welcome To New York""\n""Blank Space""\n\n2015\n""Wonderland""\n""You Are In Love""\n""New Romantics""\n""Style""\n""Bad Blood""\n""Wildest Dreams""","2428067","Hot 100 Chart History","1177","Taylor Swift"
"[Intro]\nI walked through the door with you\nThe air was cold\nBut something 'bout it felt like home somehow, and I\nLeft my scarf there at your sister's house\nAnd you've still got it\nIn your drawer, even now\n\n[Verse 1]\nOh, your sweet disposition\nAnd my wide-eyed gaze\nWe're singing in the car getting lost upstate\nAutumn leaves falling down like pieces into place\nAnd I can picture it after all these days\n\n[Pre-Chorus 1]\nAnd I know it's long gone and\nThat magic's not here no more\nAnd I might be okay, but I'm not fine at all\nOh, oh, oh\n\n[Chorus 1]\n'Cause there we are again on that little town street\nYou almost ran the red 'cause you were looking over at me\nWind in my hair, I was there, I remember it all too well\n\n[Verse 2]\nPhoto album on the counter\nYour cheeks were turning red\nYou used to be a little kid with glasses in a twin-sized bed\nAnd your mother's telling stories 'bout you on the tee ball team\nYou told me about your past, thinking your future was me\n\n[Pre-Chorus 2]\nAnd I know it's long gone and\nThere was nothing else I could do\nAnd I forget about you long enough\nTo forget why I needed to\n\n[Chorus 2]\n'Cause there we are again in the middle of the night\nWe're dancing round the kitchen in the refrigerator light\nDown the stairs, I was there, I remember it all too well, yeah\n\n[Bridge]\nMaybe we got lost in translation\nMaybe I asked for too much\nBut maybe this thing was a masterpiece\n'Til you tore it all up\nRunning scared, I was there, I remember it all too well\nHey, you call me up again just to break me like a promise\nSo casually cruel in the name of being honest\nI'm a crumpled up piece of paper lying here\n'Cause I remember it all, all, all\nToo well\n\n[Verse 3]\nTime won't fly, it's like I'm paralyzed by it\nI'd like to be my old self again\nBut I'm still trying to find it\nAfter plaid shirt days and nights when you made me your own\nNow you mail back my things and I walk home alone\nBut you keep my old scarf\nFrom that very first week\n'Cause it reminds you of innocence\nAnd it smells like me\nYou can't get rid of it\n'Cause you remember it all too well, yeah\n\n[Chorus 3]\n'Cause there we are again when I loved you so\nBack before you lost the one real thing you've ever known\nIt was rare, I was there, I remember it all too well\n\n[Outro]\nWind in my hair, you were there, you remember it all\nDown the stairs, you were there, you remember it all\nIt was rare, I was there, I remember it all too well","102701","All Too Well","1177","Taylor Swift"
"[Verse 1]\nI still remember the look on your face\nLit through the darkness at 1:58\nThe words that you whispered\nFor just us to know\nYou told me you loved me\nSo why did you go away?\nAway\n\nI do recall now the smell of the rain\nFresh on the pavement\nI ran off the plane\nThat July 9th\nThe beat of your heart\nIt jumps through your shirt\nI can still feel your arms\n\n[Chorus]\nBut now I'll go sit on the floor\nWearing your clothes\nAll that I know is\nI don't know how to be something you miss\nI never thought we'd have a last kiss\nNever imagined we'd end like this\nYour name, forever the name on my lips\n\n[Verse 2]\nI do remember the swing of your step\nThe life of the party, you're showing off again\nAnd I roll my eyes and then\nYou pull me in\nI'm not much for dancing\nBut for you I did\n\nBecause I love your handshake, meeting my father\nI love how you walk with your hands in your pockets\nHow you kissed me when I was in the middle of saying something\nThere's not a day I don't miss those rude interruptions\n\n[Chorus]\nBut now I'll go sit on the floor\nWearing your clothes\nAll that I know is\nI don't know how to be something you miss\nI never thought we'd have a last kiss\nNever imagined we'd end like this\nYour name, forever the name on my lips\n\n[Bridge]\nSo I'll watch your life in pictures like I used to watch you sleep\nAnd I feel you forget me like I used to feel you breathe\nAnd I keep up with our old friends just to ask them how you are\nHope it's nice where you are\n\nAnd I hope the sun shines\nAnd it's a beautiful day\nAnd something reminds you\nYou wish you had stayed\nYou can plan for a change in weather and time\nBut I never planned on you changing your mind\n\n[Chorus]\nSo I'll go sit on the floor\nWearing your clothes\nAll that I know is\nI don't know how to be something you miss\nI never thought we'd have a last kiss\nNever imagined we'd end like this\nYour name, forever the name on my lips\n\nJust like our last kiss\nForever the name on my lips\nForever the name on my lips\n\n[Outro]\nJust like our last","132661","Last Kiss","1177","Taylor Swift"
"[Verse 1]\nLong were the nights when\nMy days once revolved around you\nCounting my footsteps\nPraying the floor won't fall through... again\nMy mother accused me of losing my mind\nBut I swore I was fine\nYou paint me a blue sky\nThen go back and turn it to rain\nAnd I lived in your chess game\nBut you changed the rules everyday\nWonderin' which version of you I might get on the phone, tonight\nWell I stopped pickin' up and this song is to let you know why\n\n[Chorus]\nDear John, I see it all now that you're gone\nDon't you think I was too young to be messed with\nThe girl in the dress cried the whole way home\nI shoulda' known\n\n[Verse 2]\nWell maybe it's me\nAnd my blind optimism to blame\nOr maybe it's you and your sick need\nTo give love and take it away\nAnd you'll add my name to your long list of traitors\nWho don't understand\nAnd I look back in regret how I ignored when they said\n""Run as fast as you can""\n\n[Chorus]\nDear John, I see it all now that you're gone\nDon't you think I was too young to be messed with\nThe girl in the dress cried the whole way home\nDear John, I see it all now it was wrong\nDon't you think nineteen's too young\nTo be played by your dark, twisted games\nWhen I loved you so?\nI shoulda' known\n\n[Bridge]\nYou are an expert at sorry\nAnd keeping the lines blurry\nNever impressed by me acing your tests\nAll the girls that you've run dry have tired lifeless eyes\n'Cause you burned them out\nBut I took your matches\nBefore fire could catch me\nSo don't look now\nI'm shining like fireworks\nOver your sad empty town, yeah\nOh, oh, oh, oh, oh, oh\n\n[Chorus]\nDear John, I see it all now that you're gone\nDon't you think I was too young to be messed with\nThe girl in the dress cried the whole way home\n\n[Outro]\nI see it all now that you're gone\nDon't you think I was too young to be messed with\nThe girl in the dress\nWrote you a song, you shoulda' known\nYou shoulda' known\nDon't you think I was too young\nYou shoulda' known","78585","Dear John","1177","Taylor Swift"
"[Verse 1]\nMy castle crumbled overnight\nI brought a knife to a gunfight\nThey took the crown, but it's alright\nAll the liars are calling me one\nNobody's heard from me for months\nI'm doin' better than I ever was\n'Cause\n\n[Chorus]\nMy baby's fit like a daydream\nWalking with his head down\nI'm the one he's walking to\nSo call it what you want, yeah\nCall it what you want to\nMy baby's fly like a jet stream\nHigh above the whole scene\nLoves me like I'm brand new\nSo call it what you want, yeah\nCall it what you want to\n\n[Verse 2]\nAll my flowers grew back as thorns\nWindows boarded up after the storm\nHe built a fire just to keep me warm\nAll the drama queens taking swings\nAll the jokers dressing up as kings\nThey fade to nothing when I look at him\nAnd I know I make the same mistakes every time\nBridges burn, I never learn\nAt least I did one thing right\nI did one thing right\nI'm laughing with my lover, makin' forts under covers\nTrust him like a brother\nYeah, you know I did one thing right\nStarry eyes sparkin' up my darkest night\n\n[Chorus]\nMy baby's fit like a daydream\nWalking with his head down\nI'm the one he's walking to\nSo call it what you want, yeah\nCall it what you want to\nMy baby's fly like a jet stream\nHigh above the whole scene\nLoves me like I'm brand new\n(Call it what you want, call it what you want, call it)\nSo call it what you want, yeah\nCall it what you want to\n\n[Bridge]\nI want to wear his initial on a chain 'round my neck\nChain 'round my neck\nNot because he owns me\nBut 'cause he really knows me\nWhich is more than they can say, I\nI recall late November\nHolding my breath, slowly, I said\n""You don't need to save me\nBut would you run away with me?""\nYes (Would you run away?)\n\n[Chorus]\nMy baby's fit like a daydream\nWalking with his head down\nI'm the one he's walking to\n(Call it what you want, call it what you want, call it)\nSo call it what you want, yeah\nCall it what you want to\nMy baby's fly like a jet stream\nHigh above the whole scene\nLoves me like I'm brand new\n(Call it what you want, call it what you want, call it)\nSo call it what you want, yeah\nCall it what you want to\n\n[Outro]\n(Call it what you want, call it)\n(Call it what you want, call it what you want, call it)\n(Call it what you want, call it what you want, call it)\n(Call it what you want, call it what you want, call it)\n(Call it what you want, call it what you want, call it)\n(Call it what you want, call it what you want, call it)\n(Call it what you want, call it what you want, call it)\nCall it what you want, yeah\nCall it what you want… to","3300013","Call It What You Want","1177","Taylor Swift"
"[Verse 1]\nWe're all bored, we're all so tired of everything\nWe wait for trains that just aren't coming\nWe show off our different scarlet letters\nTrust me, mine is better\nWe're so young, but we're on the road to ruin\nWe play dumb, but we know exactly what we're doing\nWe cry tears of mascara in the bathroom\nHoney, life is just a classroom\n(Oh, oh, oh, oh, oh, oh)\n\n[Chorus]\n'Cause baby, I could build a castle\nOut of all the bricks they threw at me\nAnd every day is like a battle\nBut every night with us is like a dream\nBaby, we're the new romantics\nCome on, come along with me\nHeartbreak is the national anthem\nWe sing it proudly\nWe are too busy dancing to get knocked off our feet\nBaby, we're the new romantics\nThe best people in life are free\n\n[Verse 2]\nWe're all here, the lights and noise are blinding\nWe hang back, it's all in the timing\nIt's poker\nYou can't see it in my face\nBut I'm about to play my Ace\nWe need love, but all we want is danger\nWe team up, then switch sides like a record changer\nThe rumors are terrible and cruel\nBut honey, most of them are true\n(Oh, oh, oh, oh, oh, oh)\n\n[Chorus]\n'Cause baby, I could build a castle\nOut of all the bricks they threw at me\nAnd every day is like a battle\nBut every night with us is like a dream\nBaby, we're the new romantics\nCome on, come along with me\nHeartbreak is the national anthem\nWe sing it proudly\nWe are too busy dancing (yeah) to get knocked off our feet\nBaby, we're the new romantics\nThe best people in life are free\n\n[Post-Chorus]\n(Oh, oh, oh-oh, oh)\nOh-oh\n(Oh, oh, oh-oh, oh)\nSo, cool, come along with me\n(Oh, oh, oh-oh, oh)\nThe best people in life are free\n(Oh, oh, oh-oh, oh)\n\n[Bridge]\nPlease take my hand and\nPlease take me dancing, and\nPlease leave me stranded\nIt's so romantic (it's so romantic)\n(Oh, oh, oh, oh, oh, oh)\n\n[Breakdown]\nOh, 'cause baby, I could build a castle\nOut of all the bricks they threw at me\nAnd every day is like a battle, oh-oh\nBut every night with us is like a dream\n\n[Chorus]\n'Cause baby, I could build a castle (castle)\nOut of all the bricks they threw at me\nAnd every day is like a battle\nBut every night with us is like a dream\nBaby, we're the new romantics\nCome on, come along with me\nHeartbreak is the national anthem\nWe sing it proudly\nWe are too busy dancing to get knocked off our feet\nBaby, we're the new romantics\nThe best people in life are free","552892","New Romantics","1177","Taylor Swift"
