"line","song_id","song_name","artist_id","artist_name"
"[Written by Otis Redding]\n\nWhat you want, baby, I got it\nWhat you need, do you know I got it?\nAll I'm askin' is for a little respect when you get home\n(Just a little bit) Hey baby\n(Just a little bit) when you get home\n(Just a little bit) mister\n(Just a little bit)\n\nI ain't gonna do you wrong while you're gone\nAin't gon' do you wrong 'cause I don't wanna\nAll I'm askin' is for a little respect when you come home\n(Just a little bit) Baby\n(Just a little bit) When you get home\n(Just a little bit) Yeah\n(Just a little bit)\n\nI'm about to give you all of my money\nAnd all I'm askin' in return, honey\nIs to give me my propers when you get home\n(Just a, just a, just a, just a) Yeah, baby\n(Just a, just a, just a, just a) When you get home\n(Just a little bit) Yeah\n(Just a little bit)\n\nOoh, your kisses, sweeter than honey\nAnd guess what? So is my money\nAll I want you to do for me, is give it to me when you get home\n(Re, re, re ,re) Yeah baby\n(Re, re, re ,re) Whip it to me\n(Respect, just a little bit) When you get home, now\n(Just a little bit)\n\nR-E-S-P-E-C-T, find out what it means to me\nR-E-S-P-E-C-T, take care, TCB, oh\n(Sock it to me, sock it to me, sock it to me, sock it to me)\nA little respect\n(sock it to me, sock it to me, sock it to me, sock it to me)\nWhoa, babe\n(Just a little bit) A little respect\n(Just a little bit) I get tired\n(Just a little bit) Keep on tryin'\n(Just a little bit) You're runnin' out of fools\n(Just a little bit) And I ain't lyin'\n(Just a little bit)\n(Re, re, re, re) Start when you come home\n(Re, re, re, respect) Or you might walk in\n(Just a little bit) And find out I'm gone\n(Just a little bit) I gotta have\n(Just a little bit) A little respect\n(Just a little bit)","2353","Respect","1108","Aretha Franklin"
"[Verse 1]\nBoyfriend I'm true to you, don't make me blue\nI thought we had together and that everything was going okay\nBut than you started showing me another side of you\nI've never seen before\n\n[Chorus 1]\nNothing that I would do was ever enough for you boy, ooh baby\nAnd that you're driving our Mercedes Benz\nLoaned you a little cash to spend\nBut still that just wasn't enough, oh no\n\n[Chorus 2]\n'Cause what you see always seems to be what you sweat\nOoh, you're never satisfied, you're always wanting something better, yeah\nThat's the way you are, wanting more and more and more\n\n[Verse 2]\nMy friends all think I'm crazy after everythin' that I know about you\nI'm still having mixed emotions boy, they just don't want to fade away\n\n[Chorus 1]\n\n[Chorus 2]\n\n[Bridge]\nHe's sweating, he's got to conquer, he's sweating by the hour\nHe's sweating, he's got the taste, still sweating on the flower\nHe's sweating, he can't stand it\nHe's making moves that's how he planned it\nHe's not satisfied with the best, he got to check out all the rest\n\n[Chorus 1]\n\n[Chorus 2]\n\n[Outro] [x2]\nWhat you see, you're never satisfied\nAlways wanting something better","437156","What You See Is What You Sweat","1108","Aretha Franklin"
"Take me to heart\nAnd I'll always love you\nAnd nobody can make me do wrong\nTake me for granted\nLeaving love unshown\nMakes willpower weak\nAnd temptation strong\n\nA woman's only human\nYou should understand\nShe's not just a plaything\nShe's flesh and blood\nJust like her man\n\nIf you want a do right\nAll days woman\nYou've gotta be a do right\nAll night man\n\nYeah, yeah\nThey say that it's a man's world\nBut you can't prove that by me\nAnd as long as we're together baby\nShow some respect for me\n\nIf you want a do right\nAll days woman\nYou've gotta be a do right\nAll night man\n\nA woman's only human\nThis you should understand\nShe's not just a plaything\nShe's flesh and blood\nJust like her man\n\nIf you want a do right\nAll days woman\nYou've gotta be a do right\nAll nights man\nYou've gotta be a do right\nAll nights man","771644","Do Right Woman - Do Right Man (stereo version)","1108","Aretha Franklin"
"[Verse 1]\nYou're a no good heart breaker\nYou're a liar and you're a cheat\nAnd I don't know why\nI let you do these things to me\nMy friends keep telling me\nThat you ain't no good\nBut oh, they don't know\nThat I'd leave you if I could\nI guess I'm uptight\nAnd I'm stuck like glue\n\n[Chorus]\nCause I ain't never\nI ain't never, I ain't never, no, no (loved a man)\n(The way that I, I love you)\n\n[Verse 2]\nSome time ago I thought\nYou had run out of fools\nBut I was so wrong\nYou got one that you'll never lose\nThe way you treat me is a shame\nHow could you hurt me so bad\nBaby, you know that I'm the best thing\nThat you ever had\nKiss me once again\nDon't you never, never say that we we're through\n\n[Chorus]\nCause I ain't never\nNever, Never, no, no (loved a man)\n(The way that I, I love you)\n\n[Verse 3]\nI can't sleep at night\nAnd I can't eat a bite\nI guess I'll never be free\nSince you got, your hooks, in me\nI ain't never loved a man [x2]\nAin't never had a man hurt me so bad\n\n[Outro]\nNo\nWell this is what I'm going to do about it","436567","I Never Loved A Man (The Way I Love You)","1108","Aretha Franklin"
"[Verse 1]\nTo make you laugh, I would be a fool for you\nAlthough the people turn and stare\nI really don't care\nI would give my everything to keep you, boy\nIt breaks my heart when you're not there\nI will stage a ballet on a tabletop\nCommand performance finger size\nAnd although I ain't got no tune\nMy show ain't gonna fly\nI will find the music there in your eyes\n\n[Chorus]\nOh me, oh my, I'm a fool for you baby (baby now)\n(Fool for you) Oh me oh my (I)\nI am crazy (crazy baby)\nOh me, oh my (me oh my)\nYeah I'm a fool for ya baby\nCommon let your love light shine on me\n(Shine on me)\n\n[Verse 2]\nWe'll blow a genie from a cigarette\nAnd then we'll take a magic carpet ride\nYes we will\nAnd we'll tell our smokey friend, hey don't you forget\nBecause you've got to keep us side by side, yeah\n\n[Chorus]\nOh me, oh my (oh me, oh my)\nI am a fool for ya baby (be your)\n(Your fool for ya)\nOh me, oh my, (I)\nYou know that I am (crazy) crazy baby\n(Crazy baby) yes you do (crazy baby)\nOh me, oh my (oh me, oh my)\nWhoa-oh I'm a fool (fool) for ya baby\n(Need your)\nCome on let your love light shine on me\n(Shine on me)\nWould you do that? (on me)\nCome on let your love light shine\nJust a little bit (shine) right on me\n\n[Bridge]\nOh lover let your love light\nShine on me (shine on me)\nOh hear me now!\nOh me, me oh my\nI'm a fool oh! for ya baby (now)\n\n[Outro]\nOh me oh my (I)\nYou know that I'm crazy baby\n(Crazy baby)\nOh me, oh my","436701","Oh Me, Oh My (I'm A Fool For You Baby)","1108","Aretha Franklin"
"[Chorus]\nChain, chain, chain\n(Chain, chain, chain)\nChain, chain, chain\n(Chain, chain, chain)\nChain, chain, chain\n(Chain, chain, chain)\nChain of fools\n\n[Verse 1]\nFor five long years\nI thought you were my man\nBut I found out, love\nI'm just a link in your chain\nYou got me where you want me\nI ain't nothing but your fool\nYou treated me mean\nOh, you treated me cruel\n\n[Chorus]\nChain, chain, chain\n(Chain, chain, chain)\nChain of fools\n\n[Verse 2]\nEvery chain\nHas got a weak link\nI might be weak, yeah\nBut I'll give you strength, oh, hey\nYou told me to leave you alone\nMy father said, ""come on home""\nMy doctor said, ""take it easy""\nOh, but your loving is much too strong\n\n[Chorus]\nI'm added to your chain, chain, chain\n(Chain, chain, chain)\nChain, chain, chain\n(Chain, chain, chain)\nChain, chain, chain\n(Chain, chain, chain)\nYour chain of fools\n\n[Verse 3]\nOne of these mornings\nThe chain is gonna break\nBut up until the day\nI'm gonna take all I can take, oh hey\n\n[Chorus]\nChain, chain, chain\n(Chain, chain, chain)\nChain, chain, chain\n(Chain, chain, chain)\nChain, chain, chain\n(Chain, chain, chain)\nYour chain of fools, oh\n\n[Outro]\nChain, chain, chain\n(Chain, chain, chain) Oh\nChain, chain, chain\nYour chain of fools, oh yeah","437001","Chain Of Fools","1108","Aretha Franklin"
"There's an old friend that\nI once heard say\nSomething that touched my heart\nAnd it began this way\n\nI was born by the river\nIn a little tent\nAnd just like the river\nI've been running ever since\n\nHe said it's been a long time coming\nBut I know my change is gonna come, oh yeah\n\nHe said it's been too hard livin'\nBut I'm afraid to die\nI might not be if I knew what was up there\nBeyond the sky\n\nIt's been a long, long time coming\nBut I know my change is got to come, oh yeah\n\nI went, I went to my brother\nAnd I asked him, ""Brother\nCould you help me, please?""\nHe said, ""Good sister\nI'd like to but I'm not able""\nAnd when I, when I looked around\nI was right back down\nDown on my bended knees, yes I was, oh\n\nThere've been times that I thought\nI thought that I wouldn't last for long\nBut somehow, right now\nI believe that I'm able, I'm able to carry on\nI tell you that it's been a long\nAnd oh, it's been an uphill journey, all the way\nBut I know, I know, I know\nI know my change is gonna come\n\nSometimes\nI had to cry all night long, yes I did\nSometimes\nI had to give up right, for what I knew was wrong\nYes. it's been an uphill journey\nIt's sure's been a long way coming, yes it has\nIt's been real hard, every step of the way\nBut I believe, I believe\nThis evening my change is come\nYeah, I tell you that my change is come","436590","A Change Is Gonna Come","1108","Aretha Franklin"
"(Ooh) What you want\n(Ooh) Baby, I got it\n(Ooh) What you need\n(Ooh) Do you know I got it?\n(Ooh) All I'm askin'\n(Ooh) Is for a little respect when you get home\n(Just a little bit) Hey, baby\n(Just a little bit) When you get home\n(Just a little bit) Mister\n(Just a little bit)\n\nI ain't gonna do you wrong\nWhile you're gone\nAin't gonna do you wrong\n(Ooh) 'Cause I don't wanna\n(Ooh) All I'm askin'\n(Ooh) Is for a little respect when you come home\n(Just a little bit) Baby\n(Just a little bit) When you get home\n(Just a little bit) Yeah\n(Just a little bit)\n\nI'm about to give you\nAll of my money\nAnd all I'm askin'\nIn return, honey\nIs to give me my propers\nWhen you get home\n(Just a, just a, just a, just a) Yeah, baby\n(Just a, just a, just a, just a) When you get home\n(Just a little bit) Yeah\n(Just a little bit)\n\nOoh, your kisses\n(Ooh) Sweeter than honey\n(Ooh) And guess what?\n(Ooh) So is my money\n(Ooh) All I want you to do for me\n(Ooh) Is give it to me when you get home\n(Re, re, re, re) Yeah, baby\n(Re, re, re, re) Whip it to me\n(Respect, just a little bit) When you get home, now\n(Just a little bit)\n\nR-E-S-P-E-C-T\nFind out what it means to me\nR-E-S-P-E-C-T\nTake care, T-C-B\n\nOh\n(Sock it to me, sock it to me, sock it to me, sock it to me)\nA little respect\n(Sock it to me, sock it to me, sock it to me, sock it to me)\nWhoa, yeah\n(Just a little bit) A little respect\n(Just a little bit) I get tired\n(Just a little bit) I keep on tryin'\n(Just a little bit) You're runnin' out of fools\n(Just a little bit) And I ain't lyin'\n(Just a little bit)\n\n(Re, re, re, re)\nRespect when you come home\n(Re, re, re, re)\nOr you just might walk in\n(Respect, just a little bit)\nAnd find out I'm gone\n(Just a little bit)","767635","Respect (extended Deeper mix)","1108","Aretha Franklin"
"[Verse 1]\nJeremiah was a bullfrog was a good friend of mine\nI never understood a single word he said\nBut i helped him a-drink his wine\nAnd he always had some mighty fine wine, singing\n\n[Chorus]\nJoy to the world\nAll the boys and girls now\nJoy to the fishes in the deep blue sea\nJoy to you and me\n\n[Verse 2]\nIf i were the king of the world\nTell you what i'd do\nI'd throw away the cars and the bars and the war\nMake sweet love to you, sing it now\n\n[Chorus]\nJoy to the world\nAll the boys and girls\nJoy to the fishes in the deep blue sea\nJoy to you and me\n\n[Verse 3]\nYou know i love the ladies, love to have my fun\nI'm a high life flyer and a rainbow rider\nA straight shooting son of a gun\nI said a straight shooting son of a gun\n\n[Chorus]\nJoy to the world\nAll the boys and girls\nJoy to the fishes in the deep blue sea\nJoy to you and me [x2]\n\n[Bridge]\nJoy to the world\nAll the boys and girls\nJoy to the world\nJoy to you and me\n\n[Chorus]\nJoy to the world\nAll the boys and girls now\nJoy to the fishes in the deep blue sea\nJoy to you and me [x4]\n\n[Outro]\nJoy to the world\nAll the boys and girls","437871","Joy To The World","1108","Aretha Franklin"
"[Verse]\nWhat a difference a day made\nTwenty-four little hours\nBrought the sun and the flowers\nWhere there used to be rain\nMy yesterday was blue, dear\nToday I'm part of you, dear\nMy lonely nights are through, dear\nSince you said you were mine\n\n[Chorus 1]\nWhat a difference a day makes\nThere's a rainbow before me\nSkies above can't be stormy\nSince that moment of bliss, that thrilling kiss\n\n[Chorus 2]\nIt's heaven when you find romance on your menu\nWhat a difference a day made\nAnd the difference is you\n\n[Chorus 1]\n\n[Chorus 2]\n\n[Outro]\nI know the difference in my heart is you","437031","What A Difference A Day Makes","1108","Aretha Franklin"
