"line","song_id","song_name","artist_id","artist_name"
"[Verse]\nLadies and Gentlemen\nFellow Americans\nLady Americans\nThis is James Brown\nI wanna talk to you about one of our\nMost deadly\nKillers in the country today\nI had a dream the other night, and I\nWas sitting in my living room\nDozed off to sleep\nSo I start to dreaming\nI dreamed I walked in a place and\nI saw a real strange, weird object\nStanding up talking to the people\nAnd I found out it was heroin\nThat deadly drug that go in your veins\nHe said:\nI came to this country without a passport\nEver since then I've been hunted and sought\nMy little white grains are nothing but waste\nSoft and deadly and bitter to taste\nI'm a world of power and all know it's true\nUse me once and you'll know it, too\nI can make a mere schoolboy forget his books\nI can make a world-famous beauty neglect her looks\nI can make a good man forsake his wife\nSend a greedy man to prison for the rest of his life\nI can make a man forsake his country and flag\nMake a girl sell her body for a five-dollar bag\nSome think my adventure's a joy and a thrill\nBut I'll put a gun in your hand and make you kill\nIn cellophane bags I've found my way\nTo heads of state and children at play\nI'm financed in China, ran in Japan\nI'm respected in Turkey and I'm legal in Siam\nI take my addicts and make 'em steal, borrow, beg\nThen they search for a vein in their arm or their leg\nSo, be you Italian, Jewish, Black or Mex\nI can make the most virile of men forget their sex\nSo now, now my man, you must do your best\nTo keep up your habit until your arrest\nNow the police have taken you from under my wing\nDo you think they dare defy me, I who am king?\nNow, you must lie in that county jail\nWhere I can't get to you by visit or mail\nSo squirm - with discomfort - wiggle and cough\nSix days of madness, hah, and you might throw me off\nCurse me in name, defy me in speech\nBut you'd pick me up right now if I were in your reach\nAll through your sentence you've become resolved to your fate\nHear now, young man and woman, I'll be waiting at the gate\nDon't be afraid, don't run, I'm not chased\nSure my name is Heroin, you'll be back for a taste\nBehold, you're hooked\nYour foot is in the stirrup\nAnd make -- haste\nMount the steed and ride him well\nFor the white horse of heroin will ride you to Hell\nTo Hell\nWill ride you to Hell\nUntil you are dead\nDead, brother, Dead\nThis is a revolution of the mind\nGet your mind together\nAnd get away from drugs\nThat's the man\nBack, back","116997","King Heroin","8417","James Brown"
"Uh! With your bad self!\n\n[Hook]\nSay it loud: I'm black and I'm proud!\nSay it loud: I'm black and I'm proud!\n\n[Verse 1]\nSome people say we've got a lot of malice\nSome say it's a lot of nerve\nBut I say we won't quit moving until we get what we deserve\nWe have been 'buked and we have been scorned\nWe've been treated bad, talked about as sure as you're born\nBut just as sure as it takes two eyes to make a pair, ha\nBrother we can't quit until we get our share\n\n[Hook]\nSay it loud: I'm black and I'm proud!\nSay it loud: I'm black and I'm proud!\n\n[Verse 2]\nI worked on jobs with my feet and my hands\nBut all the work I did was for the other man\nNow we demand a chance to do things for ourselves\nWe're tired of beating our head against the wall\nAnd working for someone else\n\n[Hook]\nSay it loud: I'm black and I'm proud!\nSay it loud: I'm black and I'm proud!\n\n[Bridge]\nOoh-wee, give it to me\nAll right, you're out of sight\nAll night, so tough\nYou're tough and rough\nOoh-wee, uh, you're killing me\n\n[Hook]\nSay it loud: I'm black and I'm proud!\nSay it loud: I'm black and I'm proud!\n\n[Verse 3]\nWe demand a chance to do things for ourselves\nWe're tired of beating our head against the wall\nAnd working for someone else\n\n[Verse 4]\nWe're people, we like the birds and the bees\nWe'd rather die on our feet\nThan be living on our knees\n\n[Hook]\nSay it loud: I'm black and I'm proud!\nSay it loud: I'm black and I'm proud!\n\n[Bridge 2]\nAll right now, good God\nYou know we can do the boogaloo\nNow we can say with the funky talk, and we do\nSometimes we sing and we talk\nYou know we jump back and do the camel walk\nAll right now, all right\nAll right\n\n[Hook]\nSay it loud: I'm black and I'm proud!\nSay it loud: I'm black and I'm proud!\n\n[Verse 3]\nWe demand a chance to do things for ourselves\nWe're tired of beating our head against the wall\nAnd working for someone else\n\n[Verse 4]\nWe're people, we like the birds and the bees\nWe'd rather die on our feet\nThan be living on our knees\n\n[Hook]\nSay it loud: I'm black and I'm proud!\nSay it loud: I'm black and I'm proud!\n\n[Bridge 3]\nOoh-wee, you're killing me\nAll right, you're out of sight\nAll right, you're out of sight\nOoh-wee, ah\nOoh-wee, you're killing me\nOoh-wee\n\n[Hook]\nSay it loud: I'm black and I'm proud!\nSay it loud: I'm black and I'm proud!","71480","Say It Loud: I'm Black and I'm Proud","8417","James Brown"
"[Intro]\nHey, gotta gotta payback\n(The big payback)\nRevenge, I'm mad\n(The big payback)\nGot to get back, I need some get-back\nPayback, payback\n(The big payback)\nThat's it, payback, revenge\nI'm mad!\n\n[Verse 1]\nYou get down with my girlfriend, that ain't right\nYou hollering and cussing, you want to fight\nPayback is a thing you gotta see\nHell, brother, do any damn thing to me\nYou sold me out for chicken change\n(Yes you did)\nYou told me that they, they had it all arranged\nYou had me down, and that's a fact\nAnd now you punk, you gotta get ready\nFor the big payback\n(The big payback)\nThat's where I land, on the big payback\n(The big payback)\n\n[Verse 2]\nI can do wheeling, I can do dealing\n(Yes we can)\nBut I don't do no damn squealing\nI can dig rapping\nI'm ready, I can dig scrapping\nBut I can't dig that backstabbing\n(Oh no)\nNow brother get ready, that's a fact\nGet ready you mother for the big payback\n(The big payback)\nLet me hit them, hit them, Fred hit them\n\n[Verse 3]\nYou took my money, you got my honey\nDon't want me to see what you doing to me\nI can get back, I got to deal with you\nGot to deal with you\nGot to deal with you\nI got to deal with you\nHey, let me tell you!\nGet down with my woman, that ain't right\nYou holler and cuss, you wanna fight\nLook here\nDon't do me no done favor\nI don't know karate, but I know ka-razor\n(Yes we do)\nHey get ready, that's a fact, girl\nGet ready you mother for the big payback\n(The big payback)\nHey, I'm a man, I'm a man\nI'm a son of a man, but don't they tell you that pappa can\nGet ready for the big payback\n(The big payback)\nHit me again\nLord, lord, hey\nGet ready\nI need it, I need a hit again\nThe same one, the same one, same one\nHit me back, lord\n(The big payback)\n\n[Verse 4]\nSold me out for chicken change\nSaid my woman had it all arranged\nTried to make a deal, but she wanted to squeal\nBut I had my boys on her heels\nSaw me coming, told a lie\nShe broke down and she wanted to cry\nI don't care what she does\nWon't be doing just like she was\nTake those kids and raise them up\nShow 'em how to drink out the righteous cup\nTake her, take that woman, it's one place she found\nJust run that mother out of town\nMake her get up, make her get up, get out\nMake her get up, make her get up, get out\nI'm mad, I want revenge, I want revenge, my\n(The big payback)\nMy patience ends, I want revenge\nMy patience ends, I want revenge\nI want revenge, I want revenge\n(The big payback)\nGonna get some hits, I need those hits\nI need those hits, hit me!\n\n[Outro]\nLord, I need those hits\nCarry on, carry on, payback melody\nAlright\n(The big payback)","85577","The Payback","8417","James Brown"
"Yeah, uh!\nGet up, now!\nOw!\nKnock out this!\n\nSuper highways, coast to coast\nEasy to get anywhere\nOn the transcontinental overload\nJust slide behind the wheel\nHow does it feel\n\nWhen there's no destination - that's too far\nAnd somewhere on the way\nYou might find out who you are\n\nLiving in America - eye to eye, station to station\nLiving in America - hand to hand, across the nation\nLiving in America - got to have a celebration\n\nRock my soul\n\nSmokestack, fatback\nMany miles of railroad track\nAll night radio, keep on runnin'\nThrough your rock 'n' roll soul\nAll night diners keep you awake\nHey, on black coffee and a hard roll\n\nYou might have to walk the fine line\nYou might take the hard line\nBut everybody's working overtime\n\nLiving in America\nEye to eye, station to station\nLiving in America\nHand to hand, across the nation\nLiving in America\nGot to have a celebration\n\nI live in America, help me out\nBut I live in America\nWait a minute\n\nYou might not be looking for the promised land\nBut you might find it anyway\nUnder one of those old familiar names\nLike New Orleans (New Orleans)\nDetroit City (Detroit City), Dallas (Dallas)\nPittsburg P.A. (Pittsburg P.A.)\nNew York City (New York City)\nKansas City (Kansas City)\nAtlanta (Atlanta), Chicago and L.A\n\nLiving in America\nHt me\nLiving in America\nYeah\nI walk in and out\nLiving in America\n\nI live in America\nState lines\nGonna make the prime that\nI live in America\nHey\nI know what it means, I\n\nLiving in America\nEddie Murphy, eat your heart out\nLiving in America\nHit me, I said now, eye to eye\nStation to station\nLiving in America\nSo nice, with your bare self\nLiving in America\nI feel good!","151477","Livin' in America","8417","James Brown"
"Funky town, nasty\nHey, listen to the man\nRap, Godfather\nPayback, cold blooded\nPeople, people, we've got to get over\nBefore we go under, yeah Lord\nPeople, people, we've got to get over\nBefore we go under\nHey, country, you didn't say what you meant\nYou just changed, a brand new funky President\nStock market going up, jobs going down\nIt ain't no funky job to be found\nTax keep going up, I changed from a glass\nNow I drink from a paper cup, getting bad\nPeople, people, we've got to get over\nBefore we go under, listen to me\n\nLet's get together and raise...\nLet's get together, get some land\nRaise our food like the man\nSave our money like the mob\nPut up a factory, own the job\n\nWow, tell them, Godfather\nHey Lord, hey, turn on your funk motor\nGet down and praise the Lord\nGet sexy, sexy, get funky and dance\nLove me baby, love me nice\nDon't make it once, but can you make it twice\nI like it\nPeople, people, we've got to get over\nBefore we go under\nPeople, people, well well well\nBefore we go under\nTurn on your funk motor, I know it's tough\nTurn on your funk motor until you get enough, yeah\nHey, give yourself a chance to come through\nWow, tell yourself, I can do what you can do\n\nHey, listen to the man, rap godfather\nPay back, cold blooded\nPeople, people, hey, people, people\nPeople, people, don't you see what's going on?\nPeople, people, we've got to get together\nOh, get on your good foot, huh, change it, yeah\n\nGot to get together and get some land\nRaise our food just like the man\nHey... I got to say it again\nWe got to get together and buy some land\nRaise our food just like the man\nSave our money, do like the mob\nPut up your factory and own the job\n\nWe've got to get over, before we go under\nTime ain't a jaunt, hey Lord\nCountry, do you know just what I meant\nWe just changed\nAnd got a brand new funky President\nAnd hey, I need to be the mayor\nSo I can change the things around here\nI need to be the governor, huh\nI need to be the governor, huh","71969","Funky President (People It's Bad)","8417","James Brown"
"[Intro]\nSay brother, can I borrow a thin, brother\nYou know, a dime?\nSay, say, say, sis\nSure would like to some dimes for me\nSo I can get this cup of coffee\nCop me a snack or something\nI guess I better quit trying to be hip and get on down\nHey man, like, you know....\n\n[Verse 1]\nI was born in New York City on a Monday\nIt seems I was out shining shoes by Tuesday noon\nAll the fat cats, in the bad hats doing me a real big favor\nGot the fat cats, in the bad hats laying it on real good\n\n[Abbreviated Chorus]\n""Here's a dime, boy. Give me a shine, boy.""\n\n[Verse 2]\nWhen the cold wind comes, it lives at New York City\nAnd the street's no place to be but there you are\nSo you try hard, or you die hard\nNo one really gives a good damn\nYou try hard, and you die hard\nNo one gives a damn\n\n[Chorus]\n""Here's a dime boy. Give me a shine, boy.""\nDown and out in New York City\nAin't nowhere to be, but where can you go?\nWhen you're down and out in New York City\n\n[Bridge]\nI'm never, never, never gonna get that way again\nNo, no, no\nNo, no, not me\nWhen you need a friend...\nNeed to have a...\nWhen you want a friend...\n\n[Verse 2]\nGoing to get myself together until the morning\nGoing to leave it all like one bad dream\nAll the fat cats in the bad hats doing me a real big favor\nGot the fat cats in the bad hats laying it on real good\n\n[Chorus]\n""Here's a dime, boy. Give me a shine, boy\nGive me a shine, boy.""\n\n[Outro]\nDown and out, New York City\nAin't nowhere to be. Where can you go?\nWhen you're down and out in New York City\nSaid I'm never never never gonna get that way again\nNo, no, no, no, not me\nWhen you need a friend, troubled mind\nWhen you need a friend, you got a troubled mind\nAin't nobody going to give you one thin dime\nFriends can be cruel--sometimes can be sweet\nBut what, what bugs a man, what hurts a man\nWhen you give him a drink\nJust can't get nothing to eat\nThat's New York City\n\nA Hundred and Twenty-Five Street\nBricks, Eighth Avenue","422236","Down and Out in New York City","8417","James Brown"
"[Intro]\nFellas, I'm ready to get up and do my thing (yeah go ahead!)\nI wanta get into it, man, you know (go ahead!)\nLike a, like a sex machine, man, (yeah go ahead!)\nMovin' and doin' it, you know\nCan I count it off? (Go ahead)\nOne, two, three, four!\n\n[Chorus]\nGet up, (get on up)\nGet up, (get on up)\nStay on the scene, (get on up), like a sex machine, (get on up)\nGet up, get on up\nGet up, get on up\nStay on the scene, (get on up), like a sex machine, (get on up)\nGet up, get on up\nGet up, get on up\nStay on the scene, (get on up), like a sex machine, (get on up)\n\n[Verse 1]\nWait a minute!\nShake your arm, then use your form\nStay on the scene like a sex machine\nYou got to have the feeling sure as you're born\nGet it together, right on, right on\n\n[Chorus]\nGet up (Get on up)\nGet up (Get on up)\nGet up (Get on up)\nGet up (Get on up)\nGet up (Get on up)\nGet up (Get on up)\n\n[Verse 2]\nYou said, you said you got the\nYou said the feeling you got to get\nYou give me the fever 'n' a cold sweat\nThe way I like, it is the way it is\nI got mine 'n' don't worry 'bout his\n\n[Chorus]\nGet up, get on up\nStay on the scene, (get on up), like a sex machine, (get on up)\nGet up, get on up\nStay on the scene, (get on up), like a sex machine, (get on up)\n\n[Bridge 1]\nBobby! Should I take 'em to the bridge?\n(Go Ahead!)\nTake 'em on to the bridge!\n(Take em to the bridge!)\nShould I take 'em to the bridge?\n(Yeah!)\nTake 'em to the bridge?\n(Go Ahead!)\nHit me now!\nCome on!\n\n[Verse 3]\nStay on the scene, like a sex machine!\nThe way I like it is, is the way it is\nI got mine, (dig it!), he got his\n\n[Chorus 2]\nStay on the scene, like a lovin' machine\nStay on the scene, like a lovin' machine\nStay on the scene\n\n[Verse 4]\nI wanna count it off one more time now\n(Go ahead!)\nYou wanna hear it like it did on the top fellas?\n(Yeah!)\nHear it like it did on the top?\n(Yeah!)\nHit it now!\n\n[Chorus]\nGet on up, get on up\nGet up, get on up\nGet up, get on up\nGet on up, get on up\n\n[Chorus 2]\nStay on the scene, like a lovin' machine\nGet up, get on up\n\n[Bridge 2]\nTaste, (get on up)\nBein', (get on up)\nTaste, (get on up)\nBein', (get on up)\n\n[Chorus]\nGet up, get on up\nGet up, get on up\nStay on the scene, like a sex machine\n\n\n[Verse 5]\nYou gotta have the feelin, (get on up)\nSure as you're born, (get on up)\nGet it together, right on, right on\nRight on, right on, (right on, right on)\n\n[Bridge 3]\nGet up, (get on up)\nGet up, (get on up)\nAnd then, shake your money maker\nShake your money maker\n\n[Outro]\nCan we hit it like we did one more time, from the top\nCan we hit like that one more time\n(One more time!)\nOne more time!\nLet's hit it and quit! (Go ahead!)\nCan we hit it and quit? (Yeah!)\nHit it!","71819","Get Up (I Feel Like Being a) Sex Machine (Part 1)","8417","James Brown"
"Like a dull knife\nJust ain't cutting\nJust talking loud\nThen saying nothing\n\nJust saying nothing\nJust saying nothing\n\nYou can't tell me\nHow to run my life down\nYou can't tell me\nHow to keep my business sound\n\nYou can't tell me\nWhat I'm doing wrong\nWhen you keep driving and\nSinging that same old money song\n\nYou can't tell me\nWhich way to go\nCause three times seven\nAnd then some more\nYou can't tell me, hey\n\nYou're like a dull knife\nJust ain't cutting\nYou're just talking loud\nAnd saying nothing\n\nJust saying nothing\nJust saying nothing\n\nDon't tell me\nHow to do my thing\nWhen you can't, can't\nCan't do your own\n\nDon't tell me how to be a boy\nWhen, when you know I'm grown\n\nCan't use me like a woman\nWoman throws away her dress\nAnd you can't tell me, hey\nHow to use my mess\n\nYou're like a dull knife\nJack, you just ain't cutting\nYou're just talking loud\nThen saying nothing\n\nJust saying nothing\nAnd saying nothing\n\nShape up your bag\nDon't worry bout mine\nMy thing together\nAnd a doing fine\n\nGood luck to you\nJust allow you're wrong\nThen keep on singing that\nSame old money song\n\nThen keep on singing that\nSame old money song\nJust keep on singing that\nSame old money song\n\nJust keep on singing that\nSame old money song\nJust keep on singing that\nSame old money, oww\n\nI got to, I want yo\nI musta, I got to\nAshes ashes and a dust to dust\nI musta, jump on back\nI'm doing a, my hands\n\nI say I will, the point\nIs too dark to fill\nYou say I can't\nYou're phony, you're phony\nI said, I said, you're phony...","759851","Talkin' Loud And Sayin' Nothing","8417","James Brown"
"[Hook]\nI don't want nobody to give me nothing\nOpen up the door, I'll get it myself\n\n[Verse 1]\nDon't give me integration, give me true communication\nI don't give me sorrow, I want equal opportunity\nTo live tomorrow\nGive me schools and give me better books\nSo I can read about myself and gain my true looks\n\n[Hook]\n\n[Verse 2]\nSome of us try as hard as we can\nWe don't want no sympathy, we just want to be a man\n\n[Hook]\n\n[Verse 3]\nWe got talents we can use on our side of town\nLet's get our heads together and build it up from the ground\nWhen some of us make money\nWe forget about our people\nGonna forget about our honey, forget about our honey\nDo you know, look at here, hey\n\nCome on, I got to have it, come on, I need it\nI got to have it, come on, I got to have it\n\n[Interlude]\nLordy... play with your bad self\nCome on, baby, come here come here\nGot to get myself together\nSo many things I got to do, so many things I got to see\nI don't need no help from you\nTell everybody, mighty hell\nAll of these things, baby, got to do it myself, come on\n\nI gotta have it\n\n[Hook]\n\n[Verse 4]\nWith you I've sweat and bled\nWould I ever find, and block up every blood\n\n[Hook]\n\n[Verse 5]\nI'm not gonna tell you what to do\nI'm not gonna raise a fuss\nBut before you make another rule\nLet's start by taking care of us\n\n[Hook]\n\n[Verse 6]\nCan't get that education and don't you take no bar\nCause we're gonna get this thing together\nAnd you got to get them all\n\n[Hook]\n\n[Outro]\nCan you dig the groove, can you make the move?\nCan you dig the same, can you make me play?","72021","I Don't Want Nobody To Give Me Nothing (Open Up The Door, I'll Get It Myself)","8417","James Brown"
"[Chorus]\nThis is a man's world\nThis is a man's world\nBut it wouldn't be nothing\nNothing without a woman or a girl\n\n[Verse 1]\nYou see man made the cars\nTo take us over the road\nMan made the train\nTo carry the heavy load\nMan made the electric light\nTo take us out of the dark\nMan made the boat for the water\nLike Noah made the ark\n\n[Chorus]\nThis is a man's world\nThis is a man's world\nBut it wouldn't be nothing\nNothing without a woman or a girl\n\n\n[Verse 2]\nMan think about a little bit of baby girls\nAnd a baby boys\nMan makes them happy\nCause man makes them toys\nAnd after man make everything everything he can\nEven though the man makes money\nTo buy from other man\n\n[Chorus]\nThis is a man's world\nThis is a man's world\nBut it wouldn't be nothing\nNothing without a woman or a girl\n\n\n[Outro]\nOh how, how man needs a woman\nI sympathize with the man that don't have a woman\nHe's lost in the wilderness\nHe's lost in bitterness\nHe's lost in loneliness","67974","It's a Man's World","8417","James Brown"
