"line","song_id","song_name","artist_id","artist_name"
"[Intro]\nMother, mother\nThere's too many of you crying\nBrother, brother, brother\nThere's far too many of you dying\nYou know we've got to find a way\nTo bring some loving here today - Ya\n\n[Verse 1]\nFather, father\nWe don't need to escalate\nYou see, war is not the answer\nFor only love can conquer hate\nYou know we've got to find a way\nTo bring some loving here today\n\n[Chorus]\nPicket lines and picket signs\nDon't punish me with brutality\nTalk to me, so you can see\nOh, what's going on\nWhat's going on\nYa, what's going on\nAh, what's going on\n\n[Bridge]\nIn the mean time\nRight on, baby\nRight on\nRight on\n\n[Verse 2]\nMother, Mother everybody thinks we're wrong\nOh, but who are they to judge us\nSimply because our hair is long\nOh, you know we've got to find a way\nTo bring some understanding here today\nOh\n\n[Chorus]\nPicket lines and picket signs\nDon't punish me with brutality\nTalk to me\nSo you can see\nWhat's going on\nYa, what's going on\nTell me what's going on\nI'll tell you what's going on - Uh\nRight on baby\nRight on baby","51272","What's Going On","944","Marvin Gaye"
"Whoa, I was a fool from the start\nFooling around with my mind instead of my heart\nI was young and fine and you plucked me clean\nOh but you didn't know that, I didn't know that\nYou didn't know what I mean\n\nYou know you had a brother who thought he was cool\nBut really, I was a dumb little fool\nYou said you'd never, never go away\nAnd stay beside me night and day\nYou said you would love and obey\nWell you should, well you should\nIt can only get you good\n\nI was a dumb little fool\nI was a dumb little fool\nBut I'll never get enough get enough\nEnough of that funky stuff\nI'm gonna jump back in\nUp to my neck again\n\nYou always knew that I\nWasn't that kind of guy\nAll the times I thought you knew\nWell I was busy loving you\nWhat was you afraid to lose\nEverybody's got to choose\n\nI don't know if I'm gonna get a yea or nay\nOr if I'm gonna do what his honor says\n\n(Too possessive, jealous\nShe was too possessive, jealous\nToo possessive, jealous\nShe was too possessive, jealous)\n\nBut if I decide, baby, what you want\nI wanna know\nIf you would be satisfied\nBaby, satisfied\nBaby, satisfied\nWould you be satisfied\nSatisfied\n\nIs that enough, baby\nIs that enough\nLast you a lifetime\nIs that enough\nIs that enough\nKeep you happy\nIs that enough\nYou know I do it\nAnd I know that you just love\nThat expensive stuff\n\nYou got a flair for style\nAnd the style is all the while\nWhat could I do\nThe judge said she got to keep on living\nThe way she accustomed to\nShe trying to break a man\nI don't understand\nSomebody tell me please, tell me please\nWhy do I have to pay attorney fees (My baby's)\nAttorney fees (Ooh baby)\nThis is a joke\nI need a smoke\nWait a minute","93196","Is That Enough","944","Marvin Gaye"
"[Verse 1]\nYou were my wife, my life, my hopes and dreams\nFor you to understand what this means, I shall explain\nI stood all the jealousy, all the bitching too\nYes, I'd forget it all once in bed with you\nOoo darling how could we end up like this?\nOh baby let me reminisce\n\n[Verse 2]\nOh and when we, woo, stopped the hands of time\nYou set my soul on fire, my one desire\nWas to love you and think of you with pride\nAnd keep you satisfied, oh baby oh baby\nWe could not bear the mental strain\nLeave you, I never meant to\nNow you see how much you hurt me\nBut if you ever need me, I'll be by your side\nThough the many happy times we had\nCan never really outweigh the bad\nOh I'll never love nobody like I loved you baby\n\n[Verse 3]\nIt's time for us to say farewell, farewell my darling\nMaybe we'll meet down the line\nIt's too late for you and me, it's too late for you and I\nMuch too late for you to cry\nIt's too late for you and me, much too late for you and I\nIt's too late for you and me, much too late for you to cry baby\nAh we tried, God knows we tried\nNow it's too late to live and love and ah it's too late baby\nIt's too late for you and me, much too late for you to cry\nOh oh ohhh it's much too late\nWell, all we can do is, we can both try to be happy","101112","Just to Keep You Satisfied","944","Marvin Gaye"
"[Verse 1]\nHey baby, what you know good\nI'm just getting back, but you knew I would\nWar is hell, when will it end?\nWhen will people start getting together again?\nAre things really getting better, like the newspaper said\nWhat else is new my friend, besides what I read\n\n[Verse 2]\nCan't find no work, can't find no job, my friend\nMoney is tighter than, it's ever been\nSay man, I just don't understand\nWhat's going on across this land\nAh, what's happening brother?\nYeah, what's happening? What's happening my man?\n\n[Verse 3]\nAre they still getting down\nWhere we used to go and dance\nWill our ball club win the pennant\nDo you think, they have a chance?\nAnd tell me friend, how in the world have you been?\nTell me, what's out and I want to know what's in\n\n[Verse 4]\nWhat's the deal man\nWhat's happening? Tell me brother\nWhat's happening brother?\nAh, what's happening brother?\nWhat's happening my man?\nWhoo, ah, ah, what's happening brother?\nSay man, whoo, what's happening brother?\n\n[Outro]\nWhat's been shaking up and down the line?\nI want to know because, I'm slightly behind the times","116194","What's Happening Brother","944","Marvin Gaye"
"[Intro]\nGet up, get up, get up, get up\nWake up, wake up, wake up, wake up\n\nOoh baby, now let's get down tonight\n\n[Verse 1]\nBaby I'm hot just like an oven\nI need some lovin'\nAnd baby, I can't hold it much longer\nIt's getting stronger and stronger\n\n[Chorus]\nAnd when I get that feeling\nI want Sexual Healing\nSexual Healing, oh baby\nMakes me feel so fine\nHelps to relieve my mind\nSexual Healing baby, is good for me\nSexual Healing is something that's good for me\n\n[Verse 2]\nWhenever blue tear drops are falling\nAnd my emotional stability is leaving me\nThere is something I can do\nI can get on the telephone and call you up baby, and\nHoney I know you'll be there to heal me\nThe love you give to me will free me\nIf you don't know the thing you're dealing\nOh I can tell you, darling, that it's Sexual Healing\n\n(Get up, Get up, Get up, Get up)\nLet's make love tonight\n(Wake up, Wake up, Wake up, Wake up)\n'Cause you do it right\n\n[Bridge]\nBaby I got sick this morning\nA sea was storming inside of me\nBaby I think I'm capsizing\nThe waves are rising and rising\n\n[Chorus]\nAnd when I get that feeling\nI want Sexual Healing\nSexual Healing is good for me\nMakes me feel so fine, it's such a rush\nHelps to relieve the mind, and it's good for us\nSexual Healing, baby, it's good for me\nSexual Healing is something that's good for me\nAnd it's good for me and it's so good to me\nMy baby ohhh\n\n[Verse 3]\nCome take control, just grab a hold\nOf my body and mind soon we'll be making it\nHoney, oh we're feeling fine\nYou're my medicine open up and let me in\nDarling, you're so great\nI can't wait for you to operate\n\n(Heal me my darling)\nI can't wait for you to operate\n\n[Chorus]\nWhen I get this feeling\nI need Sexual Healing\nOh when I get this feeling\nI need Sexual Healing\nI gotta have Sexual Healing, darling\n'Cause I'm all alone\nSexual Healing, darling\n'Till you come back home\n\nPlease don't procrastinate\nIt's not good to masturbate","94644","Sexual Healing","944","Marvin Gaye"
"[Intro] (Spoken)\nYou know, when you say your marriage vows, they're supposed to be for real\nI mean, if you think back about what you really said about honor, loving and obeying till death do us part and all\nBut it shouldn't be that way, it should, it should, it should be lies because it turns out to be lies\nIf you don't honor what you said, you lie to God. The words should be changed\n\n[Verse 1]\nOoh now as I recall, we tried a million times\nAgain and again and again, and that isn't all\nI gave my love to you each time to make amends\nSuddenly I start to realize I can't make it\n\nPretty birds fly away, I had to leave you for my health's sake\nWhat to do? Make you pay, for leaving you, my fine, is to pay forever\nSo if a fresh new love comes in, I won't say those words again\nInstead I'll say I'll try to love and protect you\nWith all my heart as long as you want me to baby\nOoh if I love again I'm gonna try a new way this time\n\nMemories of the things we did; some we're proud of, some we hid\nSo when two people have to part, sometimes it makes them stronger\n\nDo you remember all of the bullshit, baby?\nYou say you love me with all your heart\nIf you ever loved me with all of your heart\nYou'd never take a million dollars to part\n\n[Bridge]\nI really tried, you know I tried, oh baby\nAlthough we tried, all of those promises was nothin' but lies\nI really tried, you know how hard I tried\nAll that rehearsing, baby\nWe really lied, didn't we baby?\nAnd on top of that you have scandalized, my name\n\n[Verse 2]\nWhat I can't understand is if you love me\nHow could you turn me in to the police\nDidn't I love you good and try to take care of you?\nBest I could, you were so divine and your love was like mellow wine\n\nPains of love, miles of tears, enough to last me for my lifetime\nBroken hearts last for years, so break away to the new-day sunshine\nOne thing I can promise, friend; I'll never be back again\nBut I'm not really bitter, babe\nI wish you all the luck and all the love in the world\nGood luck in the world\nBut I know you'll never be satisfied\nNo, you still want me standin' by your side\n\nMemories haunt you all the time\nI will never leave your mind\nGot judgment on your side;\nYou've said bad things and you've lied\n\nStill I remember some of the good things, baby\nLike love after dark and picnics in parks\nThose are the days I'll not forget in my life\n\nI'd rather remember, remember the joy we shared baby\nI'd rather remember all the fun we had\nAll I ever really wanted was\nTo love you and treat you right\nAll we did was fuss and fight\n\nIt don't matter baby\nTake a lesson from it all (come on)\nI never thought I'd see the day when\nYou'd put me through what you put me through\nYou tried your best\nYou say I gave you no rest\n\n[Refrain/Outro]\nWhen did you stop loving me?\nWhen did I stop loving you?\nWhen did you stop loving me?\nWhen did I stop loving you?\nWhen did you stop loving me?\nWhen did I stop loving you?","93189","When Did You Stop Loving Me, When Did I Stop Loving You","944","Marvin Gaye"
"[Verse 1]\nRockets, moon shots\nSpend it on the have-not's\nMoney, we make it\nBefore we see it, you take it\n\n[Chorus]\nOh, make you want to holler\nThe way they do my life\nMake me want to holler\nThe way they do my life\nThis ain't living, this ain't living\nNo, no baby, this ain't living\nNo, no, no\n\n[Verse 2]\nInflation no chance\nTo increase finance\nBills pile up sky high\nSend that boy off to die\n\n[Chorus]\nMake me want to holler\nThe way they do my life\nMake me want to holler\nThe way they do my life\n\n[Verse 3]\nHang ups, let downs\nBad breaks, set backs\nNatural fact is\nI can't pay my taxes\n\n[Chorus]\nMake me want to holler\nAnd throw up both my hands\nYeah, it makes me want to holler\nAnd throw up both my hands\n\n[Verse 4]\nCrime is increasing\nTrigger happy policing\nPanic is spreading\nGod knows where we're heading\n\n[Outro]\nMother, mother\nEverybody thinks we're wrong\nWho are they to judge us\nSimply because we wear our hair long","82989","Inner City Blues (Make Me Wanna Holler)","944","Marvin Gaye"
"I met a little girl, sure was fine\nPretty little thing just about blew my mind\nShe took me home, and made love to me\nI knew right then and there this is where I wanted to be\nMost of my life I had been all, all alone\nAnd you're so sweet to me, don't think I'll ever roam\nAnd then one day as time will pass\nI had this feeling that our love would last\nNothing could go wrong and it seemed everything I did\nSeemed to please you; all the heartaches you hid\n\nThen one night after we made it, and we were through\nThat's when I decided I wanted to marry you\n\nDo you take this woman to be your lawful wedded wife\nTo love, hold, and cherish for the rest of your life?\nI do, yes I do, I do darlin'\nCause I love you\n\n1964\n\nOnce you really loved me\nOnce I really loved you\n\n1976\n\nThen time would change you\nAs time would really change me\nWe thought our love would stand the test of time\nAnd as I sing this song right now I wonder today\nIf you're a friend of mine\n\nCry cry cry-I have done some crying\nWoman, you have caused my tears to flow\nCry cry cry-d you cry about me?\nDo you think about the kind of love we had?\n\nHal-le, hallelejah\nHal-lelu, I'm free\nHal-le, hallelejah\nHal-lelu, I'm free","93154","I Met a Little Girl","944","Marvin Gaye"
"This is Anna's song\nAh, making love all night long\nTake a bath in milk, and lay on your satin sheets\nLaugh and smile and(oh oh)\nLay a while and(oh oh)\nChocolate mint, candy sweets\n\n(laying across the bed)\n(laying across the bed, laying across the bed)\nThis is Anna's song\n(this is Anna's song, this is Anna's song)\nKeep on singing (loving my song)\nAll night long (loving my song)\n\nOooh work so hard, see me make a dollar\n(never worked so hard)\nI know I should for my own good\n""What's it, husband, makes you so stubborn?""\nAnd oh\nDidn't you notice the snow, starting to fall\nCome let us sit a while, just listen\nTo the children laughing and running wild\n\nAnna!\nAnna!\nAnna!\n\nYeah this is Anna's song - hey baby\nHey baby, loving you all night long\nLet it happen again and again and again baby and again\nShe's a child of the sun, lovingest one of all\nMmm and this is Anna's song yeah\nKeep on loving me baby loving me 'cross the hall\nShe can't do no wrong 'cause this is Anna's song\nLaugh and shed a tear, kiss me, Anna dear\nOoohhhh baby\n\nHey Anna, here's your song yeah\nThe one that i promise baby, promise you all along\nI knew all the time that I'd find the rhyme\nNever have a fear, here it is, my dear","215262","Anna's Song","944","Marvin Gaye"
"[Intro]\nThank you ladies and gentlemen, I sure hope you enjoyed our new album here on CBS Records. We'd like to thank Mr. Harvey Fuqua, Mr. Gordon Banks, Mr. Mike Butcher, Mr. Larkin Arnold, most of all, we want to thank our Heavenly father, Jesus!\n\n[Verse 1]\nI'm coming straight for your love baby\nLike a rocket girl\nBeen so long\nI'm making plans to get back to you\nStill I'm wondering what to do\nSeems so long yeah\nI'll make it up to you\nLike a rocket girl\nI miss you baby\n\n[Chorus]\nMiss your love\nAnd I miss your mind\nAnd your body\nWe had so much love\nLove to give\nI need to love your body\nLove your body\nHere we are\nIn and out of love\n\n[Verse 2]\nI hope we're learning to fall in love anew\nGirl I know, yeah\nI know your tender lovin' that's why I want you\nI need you lovin', yeah\nNeed your love\nAnd I miss your mind and your body\nWe had so much love\nLove to give\nI need to love your body\nLove your body\nSeems so long\nSince you were in my arms\nI need to rock you\nAnd hold you all night long\nI'm so happy to spend this time with you\nSo very happy that we might start anew\n\n[Chorus]\n\n[Verse 3]\nLove your soul baby\nLove your soul baby\nMy love is waiting for you\nI want to love you again\nI need you again\n\n[Bridge]\nMy love\nI want to love you again\nI need you again\nBeen so long\nMaking all my plans to get back to you\nWhat I'm gonna do?\nIt seems so long, but I'll make it up to you\nLike an IBM and a rocket girl\n\n[Chorus]\n\n[Outro]\nWhen I make you mine, I'll be fine\nMy love is waiting for you","434127","My Love Is Waiting","944","Marvin Gaye"
